name,sex,percentage,total,abbreviation
Iceland,M,4.3,4.6,ISL
Iceland,F,5.0,4.6,ISL
Sweden,M,6.8,6.7,SWE
Sweden,F,6.6,6.7,SWE
Luxembourg,M,5.4,6.8,LUX
Luxembourg,F,8.3,6.8,LUX
Netherlands,M,5.8,6.9,NLD
Netherlands,F,8.2,6.9,NLD
Switzerland,M,7.3,7.5,CHE
Switzerland,F,7.8,7.5,CHE
Norway,M,7.7,8.4,NOR
Norway,F,9.0,8.4,NOR
Denmark,M,8.2,8.4,DNK
Denmark,F,8.7,8.4,DNK
Slovenia,M,9.4,9.3,SVN
Slovenia,F,9.3,9.3,SVN
Austria,M,8.6,9.3,AUT
Austria,F,10.0,9.3,AUT
Malta,M,6.9,9.4,MLT
Malta,F,12.1,9.4,MLT
Germany,M,7.8,10.0,DEU
Germany,F,12.5,10.0,DEU
Lithuania,M,10.8,10.7,LTU
Lithuania,F,10.7,10.7,LTU
Czechia,M,5.6,11.1,CZE
Czechia,F,16.8,11.1,CZE
Finland,M,10.7,11.2,FIN
Finland,F,11.6,11.2,FIN
Hungary,M,9.6,12.0,HUN
Hungary,F,14.5,12.0,HUN
Belgium,M,10.6,12.2,BEL
Belgium,F,14.0,12.2,BEL
Portugal,M,12.4,12.8,PRT
Portugal,F,13.2,12.8,PRT
Latvia,M,12.9,13.3,LVA
Latvia,F,13.6,13.3,LVA
Estonia,M,8.9,13.3,EST
Estonia,F,17.9,13.3,EST
France,M,12.9,13.6,FRA
France,F,14.3,13.6,FRA
Poland,M,11.3,14.0,POL
Poland,F,16.8,14.0,POL
Ireland,M,14.3,14.5,IRL
Ireland,F,14.6,14.5,IRL
Slovakia,M,11.8,15.1,SVK
Slovakia,F,18.5,15.1,SVK
Cyprus,M,16.4,18.0,CYP
Cyprus,F,19.5,18.0,CYP
Spain,M,17.4,18.1,ESP
Spain,F,18.7,18.1,ESP
Croatia,M,19.5,19.5,HRV
Croatia,F,19.4,19.5,HRV
Greece,M,20.5,21.9,GRC
Greece,F,23.3,21.9,GRC
Montenegro,M,21.6,22.3,MNE
Montenegro,F,23.1,22.3,MNE
Bulgaria,M,19.0,22.4,BGR
Bulgaria,F,25.9,22.4,BGR
Serbia,M,20.8,22.8,SRB
Serbia,F,24.8,22.8,SRB
Romania,M,19.9,24.3,ROU
Romania,F,29.1,24.3,ROU
Italy,M,22.0,24.4,ITA
Italy,F,27.0,24.4,ITA
Türkiye,M,14.8,27.8,TUR
Türkiye,F,40.9,27.8,TUR
North Macedonia,M,28.7,31.3,MKD
North Macedonia,F,34.0,31.3,MKD
