Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Abbreviation
Belgium,243.0,246.0,264,275,285,269,277,249,240,230,226,230,205.0,189.0,BEL
Bulgaria,289.0,328.0,334,322,325,293,264,257,209,193,171,180,171.0,144.0,BGR
Czechia,266.0,264.0,238,247,238,219,208,190,167,157,159,176,172.0,178.0,CZE
Denmark,72.0,80.0,84,91,85,85,91,92,109,107,107,113,91.0,88.0,DNK
Germany,1827.0,1652.0,1479,1418,1320,1323,1298,1391,1321,1213,1154,1264,1230.0,1134.0,DEU
Estonia,49.0,47.0,38,36,34,32,29,31,23,25,20,22,22.0,21.0,EST
Ireland,210.0,215.0,210,196,166,155,143,126,113,104,104,130,91.0,83.0,IRL
Greece,310.0,354.0,427,483,498,455,403,364,341,310,281,297,279.0,247.0,GRC
Spain,1682.0,1629.0,1621,1687,1649,1483,1373,1262,1148,1083,1070,1263,1035.0,947.0,ESP
France,1389.0,1393.0,1374,1407,1472,1518,1577,1538,1489,1460,1396,1513,1432.0,1369.0,FRA
Croatia,121.0,141.0,151,154,173,166,148,142,128,109,97,98,98.0,85.0,HRV
Italy,1945.0,2074.0,2119,2223,2416,2415,2344,2208,2182,2108,1991,2084,2032.0,1670.0,ITA
Cyprus,19.0,22.0,26,31,37,35,31,30,30,25,23,25,26.0,25.0,CYP
Latvia,97.0,92.0,80,68,59,54,47,43,38,35,30,33,33.0,31.0,LVA
Lithuania,102.0,112.0,88,83,79,73,65,56,50,43,49,57,54.0,44.0,LTU
Luxembourg,7.0,5.0,6,7,7,6,8,7,7,9,7,9,10.0,8.0,LUX
Hungary,293.0,287.0,278,299,292,253,224,201,185,174,178,198,184.0,168.0,HUN
Malta,11.0,10.0,10,10,9,10,10,8,8,7,8,9,9.0,7.0,MLT
Netherlands,194.0,203.0,196,218,250,254,227,218,208,201,203,205,127.0,138.0,NLD
Austria,153.0,146.0,136,131,138,149,139,145,135,134,130,147,139.0,134.0,AUT
Poland,1186.0,1187.0,1196,1195,1191,1093,1005,920,826,746,706,749,747.0,591.0,POL
Portugal,236.0,243.0,249,273,280,245,220,211,173,157,150,181,161.0,141.0,PRT
Romania,843.0,925.0,922,910,906,907,930,860,752,703,662,635,611.0,597.0,ROU
Slovenia,31.0,31.0,30,36,39,38,35,30,25,23,23,24,22.0,25.0,SVN
Slovakia,211.0,227.0,214,209,207,193,176,157,153,134,130,133,127.0,106.0,SVK
Finland,106.0,99.0,94,97,102,109,114,107,100,92,86,92,86.0,87.0,FIN
Sweden,167.0,141.0,136,144,136,136,129,124,120,122,112,128,112.0,104.0,SWE
Iceland,6.0,6.0,5,4,4,4,3,3,3,4,4,5,5.0,4.0,ISL
Norway,68.0,74.0,75,75,82,85,85,86,79,78,77,79,75.0,69.0,NOR
Switzerland,nan,117.0,115,112,116,113,108,111,105,96,90,90,nan,nan,CHE
Montenegro,nan,nan,33,32,32,30,31,30,29,28,28,35,nan,nan,MNE
North Macedonia,159.0,154.0,152,150,144,146,144,136,132,124,100,104,nan,nan,MKD
Serbia,nan,368.0,373,363,343,328,308,272,259,235,218,226,206.0,163.0,SRB
Türkiye,6776.0,6269.0,5825,5654,5210,5088,4997,4991,4940,4926,5225,5700,nan,nan,TUR
