Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Abbreviation
Belgium,143.0,141.0,153,155,158,143,151,141,132,131,126,124,98.0,92.0,BEL
Bulgaria,161.0,175.0,175,168,171,160,143,145,125,114,102,105,99.0,81.0,BGR
Czechia,180.0,176.0,161,165,160,153,148,141,127,123,126,137,133.0,129.0,CZE
Denmark,35.0,37.0,44,45,45,45,47,47,57,53,52,57,47.0,45.0,DNK
Germany,1068.0,995.0,897,874,811,813,791,828,789,734,704,678,682.0,650.0,DEU
Estonia,26.0,24.0,20,21,20,18,18,20,14,14,13,13,11.0,9.0,EST
Ireland,96.0,101.0,99,93,82,80,72,64,60,55,55,66,44.0,45.0,IRL
Greece,196.0,212.0,234,250,251,232,206,190,187,165,142,145,139.0,129.0,GRC
Spain,803.0,785.0,791,808,801,739,685,644,590,555,542,618,495.0,483.0,ESP
France,739.0,748.0,754,750,781,791,823,808,770,749,714,771,729.0,688.0,FRA
Croatia,69.0,68.0,73,74,84,79,70,69,67,60,55,53,52.0,47.0,HRV
Italy,1120.0,1171.0,1185,1213,1285,1279,1242,1192,1169,1136,1080,1125,1069.0,869.0,ITA
Cyprus,13.0,13.0,14,17,19,17,17,17,17,13,14,14,14.0,15.0,CYP
Latvia,48.0,46.0,42,36,32,31,26,22,21,18,15,17,17.0,15.0,LVA
Lithuania,46.0,47.0,39,38,40,40,35,27,25,22,24,26,28.0,24.0,LTU
Luxembourg,4.0,3.0,4,4,4,3,5,4,4,5,3,4,5.0,4.0,LUX
Hungary,157.0,153.0,153,160,163,145,127,119,118,111,106,116,114.0,101.0,HUN
Malta,7.0,7.0,6,6,5,6,6,5,4,4,4,5,5.0,3.0,MLT
Netherlands,121.0,122.0,119,133,143,151,134,126,124,118,111,115,67.0,74.0,NLD
Austria,92.0,86.0,80,77,78,84,74,77,73,79,77,76,76.0,70.0,AUT
Poland,700.0,651.0,667,667,662,603,541,539,515,482,465,476,458.0,362.0,POL
Portugal,127.0,131.0,132,137,143,127,119,107,87,81,82,91,81.0,71.0,PRT
Romania,492.0,526.0,502,499,500,497,531,497,438,421,398,386,385.0,373.0,ROU
Slovenia,15.0,15.0,14,18,20,20,17,15,13,13,13,13,11.0,14.0,SVN
Slovakia,119.0,118.0,111,111,108,104,99,94,94,84,80,80,76.0,59.0,SVK
Finland,56.0,53.0,50,53,52,53,60,55,52,50,46,46,40.0,40.0,FIN
Sweden,80.0,70.0,67,71,66,65,61,59,59,59,53,61,56.0,53.0,SWE
Iceland,3.0,3.0,2,2,2,2,1,1,1,2,2,2,2.0,2.0,ISL
Norway,39.0,39.0,43,43,46,48,47,45,45,43,44,42,36.0,33.0,NOR
Switzerland,nan,67.0,60,61,61,56,55,55,50,46,42,41,nan,nan,CHE
Montenegro,nan,nan,17,17,15,15,16,15,15,13,14,17,nan,nan,MNE
North Macedonia,88.0,83.0,81,78,78,80,76,72,74,68,56,56,nan,nan,MKD
Serbia,nan,183.0,185,182,182,170,159,144,136,127,116,118,108.0,88.0,SRB
Türkiye,4915.0,4632.0,4388,4182,3899,3778,3724,3658,3616,3550,3592,3776,nan,nan,TUR
