name,sex,percentage,abbreviation
Austria,M,7.7,AUT
Austria,F,10.3,AUT
Belgium,M,12.5,BEL
Belgium,F,15.7,BEL
Bulgaria,M,23.7,BGR
Bulgaria,F,27.9,BGR
Croatia,M,22.5,HRV
Croatia,F,22.1,HRV
Cyprus,M,20.7,CYP
Cyprus,F,20.1,CYP
Czechia,M,8.2,CZE
Czechia,F,17.7,CZE
Denmark,M,7.8,DNK
Denmark,F,8.7,DNK
Estonia,M,11.1,EST
Estonia,F,16.1,EST
Finland,M,10.0,FIN
Finland,F,10.8,FIN
France,M,12.3,FRA
France,F,13.8,FRA
Germany,M,7.5,DEU
Germany,F,12.4,DEU
Greece,M,27.7,GRC
Greece,F,28.5,GRC
Hungary,M,14.5,HUN
Hungary,F,19.0,HUN
Iceland,M,6.8,ISL
Iceland,F,5.9,ISL
Ireland,M,19.0,IRL
Ireland,F,18.5,IRL
Italy,M,24.1,ITA
Italy,F,28.3,ITA
Latvia,M,13.9,LVA
Latvia,F,17.3,LVA
Lithuania,M,13.2,LTU
Lithuania,F,14.3,LTU
Luxembourg,M,6.7,LUX
Luxembourg,F,7.7,LUX
Malta,M,9.1,MLT
Malta,F,12.7,MLT
Montenegro,M,23.9,MNE
Montenegro,F,23.3,MNE
Netherlands,M,6.9,NLD
Netherlands,F,9.4,NLD
North Macedonia,M,28.1,MKD
North Macedonia,F,34.6,MKD
Norway,M,7.1,NOR
Norway,F,9.5,NOR
Poland,M,14.2,POL
Poland,F,18.8,POL
Portugal,M,16.0,PRT
Portugal,F,16.9,PRT
Romania,M,21.3,ROU
Romania,F,27.9,ROU
Serbia,M,26.7,SRB
Serbia,F,33.2,SRB
Slovakia,M,17.2,SVK
Slovakia,F,19.4,SVK
Slovenia,M,10.4,SVN
Slovenia,F,11.5,SVN
Spain,M,22.8,ESP
Spain,F,22.1,ESP
Sweden,M,7.4,SWE
Sweden,F,7.4,SWE
Switzerland,M,7.4,CHE
Switzerland,F,8.6,CHE
Türkiye,M,14.8,TUR
Türkiye,F,43.8,TUR
