year,indicator,category,value
2009,Sex,Male,17.6
2009,Sex,Female,20.5
2009,Age range,< 18,20.8
2009,Age range,18-24,20.6
2009,Age range,25-49,16.4
2009,Age range,50-64,22.2
2009,Age range,≥ 65,18.6
2009,Education,Low,31.3
2009,Education,Medium,16.2
2009,Education,High,10.8
2009,Activity status,Employed,10.4
2009,Activity status,Unemployed,54.0
2009,Activity status,Retired,22.7
2009,Activity status,Inactive,33.8
2010,Sex,Male,17.3
2010,Sex,Female,20.5
2010,Age range,< 18,22.4
2010,Age range,18-24,18.9
2010,Age range,25-49,17.3
2010,Age range,50-64,19.9
2010,Age range,≥ 65,17.4
2010,Education,Low,30.5
2010,Education,Medium,14.9
2010,Education,High,12.4
2010,Activity status,Employed,9.2
2010,Activity status,Unemployed,55.3
2010,Activity status,Retired,21.2
2010,Activity status,Inactive,33.5
2011,Sex,Male,17.9
2011,Sex,Female,20.3
2011,Age range,< 18,22.1
2011,Age range,18-24,18.4
2011,Age range,25-49,17.4
2011,Age range,50-64,21.5
2011,Age range,≥ 65,17.4
2011,Education,Low,30.1
2011,Education,Medium,15.6
2011,Education,High,12.3
2011,Activity status,Employed,9.2
2011,Activity status,Unemployed,59.4
2011,Activity status,Retired,21.3
2011,Activity status,Inactive,35.1
2012,Sex,Male,17.3
2012,Sex,Female,19.6
2012,Age range,< 18,20.9
2012,Age range,18-24,20.2
2012,Age range,25-49,17.5
2012,Age range,50-64,19.0
2012,Age range,≥ 65,16.2
2012,Education,Low,27.9
2012,Education,Medium,15.9
2012,Education,High,12.6
2012,Activity status,Employed,9.4
2012,Activity status,Unemployed,65.2
2012,Activity status,Retired,20.0
2012,Activity status,Inactive,34.5
2013,Sex,Male,17.4
2013,Sex,Female,20.1
2013,Age range,< 18,22.9
2013,Age range,18-24,18.9
2013,Age range,25-49,17.6
2013,Age range,50-64,19.3
2013,Age range,≥ 65,16.2
2013,Education,Low,27.5
2013,Education,Medium,15.5
2013,Education,High,14.7
2013,Activity status,Employed,9.5
2013,Activity status,Unemployed,67.5
2013,Activity status,Retired,20.1
2013,Activity status,Inactive,32.7
2014,Sex,Male,17.7
2014,Sex,Female,20.5
2014,Age range,< 18,23.3
2014,Age range,18-24,21.4
2014,Age range,25-49,17.7
2014,Age range,50-64,19.7
2014,Age range,≥ 65,15.7
2014,Education,Low,31.7
2014,Education,Medium,16.2
2014,Education,High,11.8
2014,Activity status,Employed,9.1
2014,Activity status,Unemployed,67.7
2014,Activity status,Retired,20.6
2014,Activity status,Inactive,35.4
2015,Sex,Male,17.5
2015,Sex,Female,19.1
2015,Age range,< 18,22.3
2015,Age range,18-24,21.2
2015,Age range,25-49,17.9
2015,Age range,50-64,17.9
2015,Age range,≥ 65,14.0
2015,Education,Low,29.5
2015,Education,Medium,15.6
2015,Education,High,12.0
2015,Activity status,Employed,9.3
2015,Activity status,Unemployed,62.7
2015,Activity status,Retired,18.0
2015,Activity status,Inactive,36.4
2016,Sex,Male,16.9
2016,Sex,Female,18.9
2016,Age range,< 18,20.0
2016,Age range,18-24,23.7
2016,Age range,25-49,17.6
2016,Age range,50-64,17.8
2016,Age range,≥ 65,13.7
2016,Education,Low,29.5
2016,Education,Medium,15.6
2016,Education,High,12.8
2016,Activity status,Employed,9.3
2016,Activity status,Unemployed,71.3
2016,Activity status,Retired,16.3
2016,Activity status,Inactive,35.7
2017,Sex,Male,16.8
2017,Sex,Female,19.3
2017,Age range,< 18,23.0
2017,Age range,18-24,19.9
2017,Age range,25-49,18.4
2017,Age range,50-64,16.6
2017,Age range,≥ 65,13.4
2017,Education,Low,29.0
2017,Education,Medium,15.4
2017,Education,High,12.2
2017,Activity status,Employed,9.2
2017,Activity status,Unemployed,67.4
2017,Activity status,Retired,15.5
2017,Activity status,Inactive,37.7
2018,Sex,Male,16.2
2018,Sex,Female,18.7
2018,Age range,< 18,21.6
2018,Age range,18-24,16.7
2018,Age range,25-49,17.9
2018,Age range,50-64,16.1
2018,Age range,≥ 65,14.5
2018,Education,Low,27.3
2018,Education,Medium,14.7
2018,Education,High,13.1
2018,Activity status,Employed,9.1
2018,Activity status,Unemployed,64.6
2018,Activity status,Retired,16.2
2018,Activity status,Inactive,35.3
2019,Sex,Male,15.4
2019,Sex,Female,18.3
2019,Age range,< 18,19.5
2019,Age range,18-24,17.8
2019,Age range,25-49,17.1
2019,Age range,50-64,16.2
2019,Age range,≥ 65,14.5
2019,Education,Low,27.5
2019,Education,Medium,14.4
2019,Education,High,13.0
2019,Activity status,Employed,8.5
2019,Activity status,Unemployed,66.4
2019,Activity status,Retired,16.7
2019,Activity status,Inactive,35.0
2020,Sex,Male,17.0
2020,Sex,Female,17.9
2020,Age range,< 18,22.2
2020,Age range,18-24,17.7
2020,Age range,25-49,17.6
2020,Age range,50-64,15.8
2020,Age range,≥ 65,14.5
2020,Education,Low,29.4
2020,Education,Medium,15.5
2020,Education,High,11.1
2020,Activity status,Employed,8.2
2020,Activity status,Unemployed,65.1
2020,Activity status,Retired,17.3
2020,Activity status,Inactive,37.6
