year,indicator,category,value
2009,Sex,Male,18.5
2009,Sex,Female,21.8
2009,Age range,Less than 18,20.5
2009,Age range,18-24,20.1
2009,Age range,25-49,15.7
2009,Age range,50-64,25.4
2009,Age range,65 and over,23.1
2009,Education,Low,32.8
2009,Education,Medium,15.4
2009,Education,High,9.3
2009,Activity status,Employed,6.5
2009,Activity status,Unemployed,53.9
2009,Activity status,Retired,21.4
2009,Activity status,Inactive,40.8
2010,Sex,Male,20.0
2010,Sex,Female,21.7
2010,Age range,Less than 18,23.2
2010,Age range,18-24,20.7
2010,Age range,25-49,17.6
2010,Age range,50-64,23.9
2010,Age range,65 and over,21.0
2010,Education,Low,32.4
2010,Education,Medium,17.2
2010,Education,High,9.0
2010,Activity status,Employed,6.5
2010,Activity status,Unemployed,53.4
2010,Activity status,Retired,19.7
2010,Activity status,Inactive,41.4
2011,Sex,Male,20.4
2011,Sex,Female,21.5
2011,Age range,Less than 18,23.3
2011,Age range,18-24,20.4
2011,Age range,25-49,18.6
2011,Age range,50-64,22.3
2011,Age range,65 and over,21.6
2011,Education,Low,33.7
2011,Education,Medium,17.8
2011,Education,High,10.4
2011,Activity status,Employed,6.1
2011,Activity status,Unemployed,56.5
2011,Activity status,Retired,20.1
2011,Activity status,Inactive,41.8
2012,Sex,Male,20.9
2012,Sex,Female,22.3
2012,Age range,Less than 18,22.8
2012,Age range,18-24,23.4
2012,Age range,25-49,19.5
2012,Age range,50-64,23.6
2012,Age range,65 and over,21.2
2012,Education,Low,34.9
2012,Education,Medium,18.3
2012,Education,High,11.4
2012,Activity status,Employed,6.6
2012,Activity status,Unemployed,57.7
2012,Activity status,Retired,19.9
2012,Activity status,Inactive,44.6
2013,Sex,Male,20.4
2013,Sex,Female,21.2
2013,Age range,Less than 18,21.9
2013,Age range,18-24,23.8
2013,Age range,25-49,19.9
2013,Age range,50-64,21.2
2013,Age range,65 and over,19.5
2013,Education,Low,34.7
2013,Education,Medium,17.9
2013,Education,High,10.7
2013,Activity status,Employed,6.0
2013,Activity status,Unemployed,69.8
2013,Activity status,Retired,19.4
2013,Activity status,Inactive,45.5
2014,Sex,Male,20.9
2014,Sex,Female,21.5
2014,Age range,Less than 18,23.2
2014,Age range,18-24,26.1
2014,Age range,25-49,20.5
2014,Age range,50-64,21.7
2014,Age range,65 and over,17.3
2014,Education,Low,35.0
2014,Education,Medium,19.3
2014,Education,High,10.0
2014,Activity status,Employed,6.7
2014,Activity status,Unemployed,63.6
2014,Activity status,Retired,17.2
2014,Activity status,Inactive,47.1
2015,Sex,Male,20.0
2015,Sex,Female,22.2
2015,Age range,Less than 18,23.3
2015,Age range,18-24,24.7
2015,Age range,25-49,19.6
2015,Age range,50-64,24.0
2015,Age range,65 and over,16.2
2015,Education,Low,35.4
2015,Education,Medium,19.8
2015,Education,High,10.5
2015,Activity status,Employed,6.1
2015,Activity status,Unemployed,67.6
2015,Activity status,Retired,16.3
2015,Activity status,Inactive,47.4
2016,Sex,Male,19.5
2016,Sex,Female,22.3
2016,Age range,Less than 18,21.6
2016,Age range,18-24,26.3
2016,Age range,25-49,19.0
2016,Age range,50-64,25.1
2016,Age range,65 and over,16.4
2016,Education,Low,35.0
2016,Education,Medium,20.4
2016,Education,High,10.1
2016,Activity status,Employed,6.4
2016,Activity status,Unemployed,67.1
2016,Activity status,Retired,16.6
2016,Activity status,Inactive,48.4
2017,Sex,Male,19.4
2017,Sex,Female,21.8
2017,Age range,Less than 18,22.1
2017,Age range,18-24,25.5
2017,Age range,25-49,19.0
2017,Age range,50-64,22.9
2017,Age range,65 and over,16.9
2017,Education,Low,34.9
2017,Education,Medium,19.9
2017,Education,High,9.2
2017,Activity status,Employed,6.5
2017,Activity status,Unemployed,66.7
2017,Activity status,Retired,16.3
2017,Activity status,Inactive,47.5
2018,Sex,Male,19.0
2018,Sex,Female,20.9
2018,Age range,Less than 18,23.0
2018,Age range,18-24,24.0
2018,Age range,25-49,17.8
2018,Age range,50-64,21.1
2018,Age range,65 and over,17.4
2018,Education,Low,34.0
2018,Education,Medium,18.8
2018,Education,High,8.4
2018,Activity status,Employed,6.2
2018,Activity status,Unemployed,64.4
2018,Activity status,Retired,16.2
2018,Activity status,Inactive,47.4
2019,Sex,Male,18.9
2019,Sex,Female,20.0
2019,Age range,Less than 18,22.3
2019,Age range,18-24,22.7
2019,Age range,25-49,17.5
2019,Age range,50-64,21.0
2019,Age range,65 and over,16.5
2019,Education,Low,32.2
2019,Education,Medium,19.3
2019,Education,High,8.6
2019,Activity status,Employed,6.2
2019,Activity status,Unemployed,70.4
2019,Activity status,Retired,15.5
2019,Activity status,Inactive,45.2
2020,Sex,Male,18.4
2020,Sex,Female,19.5
2020,Age range,Less than 18,20.3
2020,Age range,18-24,21.3
2020,Age range,25-49,16.3
2020,Age range,50-64,20.4
2020,Age range,65 and over,19.4
2020,Education,Low,35.2
2020,Education,Medium,19.0
2020,Education,High,8.1
2020,Activity status,Employed,5.5
2020,Activity status,Unemployed,69.6
2020,Activity status,Retired,17.8
2020,Activity status,Inactive,45.9
