year,indicator,category,value
2009,Sex,Male,44.1
2009,Sex,Female,48.1
2009,Age range,Less than 18,47.3
2009,Age range,18-24,42.7
2009,Age range,25-49,39.2
2009,Age range,50-64,42.1
2009,Age range,65 and over,66.0
2009,Education,Low,70.3
2009,Education,Medium,38.1
2009,Education,High,22.7
2009,Activity status,Employed,30.3
2009,Activity status,Unemployed,75.5
2009,Activity status,Retired,64.1
2009,Activity status,Inactive,51.0
2010,Sex,Male,47.3
2010,Sex,Female,50.9
2010,Age range,Less than 18,49.8
2010,Age range,18-24,48.5
2010,Age range,25-49,42.9
2010,Age range,50-64,47.1
2010,Age range,65 and over,63.9
2010,Education,Low,72.3
2010,Education,Medium,44.1
2010,Education,High,24.3
2010,Activity status,Employed,35.3
2010,Activity status,Unemployed,79.8
2010,Activity status,Retired,63.4
2010,Activity status,Inactive,50.5
2011,Sex,Male,47.7
2011,Sex,Female,50.5
2011,Age range,Less than 18,51.8
2011,Age range,18-24,49.2
2011,Age range,25-49,43.6
2011,Age range,50-64,46.1
2011,Age range,65 and over,61.1
2011,Education,Low,73.7
2011,Education,Medium,43.6
2011,Education,High,21.9
2011,Activity status,Employed,34.1
2011,Activity status,Unemployed,78.9
2011,Activity status,Retired,59.8
2011,Activity status,Inactive,54.1
2012,Sex,Male,47.6
2012,Sex,Female,50.9
2012,Age range,Less than 18,52.3
2012,Age range,18-24,49.7
2012,Age range,25-49,43.7
2012,Age range,50-64,47.2
2012,Age range,65 and over,59.1
2012,Education,Low,72.7
2012,Education,Medium,45.3
2012,Education,High,24.2
2012,Activity status,Employed,33.7
2012,Activity status,Unemployed,77.7
2012,Activity status,Retired,58.7
2012,Activity status,Inactive,56.3
2013,Sex,Male,46.5
2013,Sex,Female,49.4
2013,Age range,Less than 18,51.5
2013,Age range,18-24,47.4
2013,Age range,25-49,42.7
2013,Age range,50-64,45.7
2013,Age range,65 and over,57.6
2013,Education,Low,73.4
2013,Education,Medium,43.8
2013,Education,High,21.9
2013,Activity status,Employed,31.9
2013,Activity status,Unemployed,79.4
2013,Activity status,Retired,56.7
2013,Activity status,Inactive,53.1
2014,Sex,Male,38.8
2014,Sex,Female,41.3
2014,Age range,Less than 18,45.2
2014,Age range,18-24,39.7
2014,Age range,25-49,35.4
2014,Age range,50-64,36.8
2014,Age range,65 and over,47.8
2014,Education,Low,66.5
2014,Education,Medium,33.4
2014,Education,High,15.7
2014,Activity status,Employed,23.1
2014,Activity status,Unemployed,72.8
2014,Activity status,Retired,47.1
2014,Activity status,Inactive,48.1
2015,Sex,Male,39.5
2015,Sex,Female,43.0
2015,Age range,Less than 18,43.7
2015,Age range,18-24,44.1
2015,Age range,25-49,35.8
2015,Age range,50-64,37.7
2015,Age range,65 and over,51.8
2015,Education,Low,70.3
2015,Education,Medium,34.8
2015,Education,High,17.6
2015,Activity status,Employed,24.4
2015,Activity status,Unemployed,76.7
2015,Activity status,Retired,50.7
2015,Activity status,Inactive,51.9
2016,Sex,Male,38.5
2016,Sex,Female,42.1
2016,Age range,Less than 18,45.6
2016,Age range,18-24,43.6
2016,Age range,25-49,36.6
2016,Age range,50-64,36.0
2016,Age range,65 and over,45.9
2016,Education,Low,68.3
2016,Education,Medium,34.5
2016,Education,High,16.5
2016,Activity status,Employed,24.5
2016,Activity status,Unemployed,77.5
2016,Activity status,Retired,45.3
2016,Activity status,Inactive,54.9
2017,Sex,Male,37.2
2017,Sex,Female,40.4
2017,Age range,Less than 18,41.6
2017,Age range,18-24,44.5
2017,Age range,25-49,33.4
2017,Age range,50-64,34.1
2017,Age range,65 and over,48.9
2017,Education,Low,69.3
2017,Education,Medium,33.0
2017,Education,High,16.0
2017,Activity status,Employed,23.3
2017,Activity status,Unemployed,74.5
2017,Activity status,Retired,47.4
2017,Activity status,Inactive,54.8
2018,Sex,Male,30.8
2018,Sex,Female,34.6
2018,Age range,Less than 18,33.7
2018,Age range,18-24,35.0
2018,Age range,25-49,26.4
2018,Age range,50-64,29.6
2018,Age range,65 and over,45.1
2018,Education,Low,63.9
2018,Education,Medium,26.4
2018,Education,High,12.7
2018,Activity status,Employed,17.7
2018,Activity status,Unemployed,70.2
2018,Activity status,Retired,43.9
2018,Activity status,Inactive,43.8
2019,Sex,Male,30.9
2019,Sex,Female,34.7
2019,Age range,Less than 18,34.1
2019,Age range,18-24,31.6
2019,Age range,25-49,25.5
2019,Age range,50-64,28.9
2019,Age range,65 and over,47.8
2019,Education,Low,65.6
2019,Education,Medium,26.8
2019,Education,High,11.6
2019,Activity status,Employed,16.6
2019,Activity status,Unemployed,71.2
2019,Activity status,Retired,47.5
2019,Activity status,Inactive,44.3
2020,Sex,Male,29.8
2020,Sex,Female,34.2
2020,Age range,Less than 18,33.3
2020,Age range,18-24,35.3
2020,Age range,25-49,24.3
2020,Age range,50-64,26.0
2020,Age range,65 and over,48.3
2020,Education,Low,66.6
2020,Education,Medium,26.0
2020,Education,High,11.0
2020,Activity status,Employed,15.3
2020,Activity status,Unemployed,71.2
2020,Activity status,Retired,48.1
2020,Activity status,Inactive,47.1
