year,indicator,category,value
2009,sex,M,16.0
2009,sex,F,19.7
2009,age,0_to_17,20.4
2009,age,18_to_24,16.7
2009,age,25_to_49,12.9
2009,age,50_to_64,15.7
2009,age,65+,30.3
2009,education,low,31.8
2009,education,medium,15.7
2009,education,high,9.1
2009,labour,employed,8.6
2009,labour,unemployed,59.0
2009,labour,retired,31.8
2009,labour,inactive,30.9
2010,sex,M,15.6
2010,sex,F,18.6
2010,age,0_to_17,19.8
2010,age,18_to_24,14.9
2010,age,25_to_49,13.3
2010,age,50_to_64,14.1
2010,age,65+,27.8
2010,education,low,29.6
2010,education,medium,15.7
2010,education,high,8.9
2010,labour,employed,7.9
2010,labour,unemployed,46.9
2010,labour,retired,28.6
2010,labour,inactive,31.8
2011,sex,M,15.6
2011,sex,F,18.7
2011,age,0_to_17,18.9
2011,age,18_to_24,16.8
2011,age,25_to_49,12.2
2011,age,50_to_64,15.9
2011,age,65+,28.3
2011,education,low,30.6
2011,education,medium,16.1
2011,education,high,8.7
2011,labour,employed,8.0
2011,labour,unemployed,40.7
2011,labour,retired,29.4
2011,labour,inactive,32.1
2012,sex,M,15.9
2012,sex,F,19.2
2012,age,0_to_17,18.9
2012,age,18_to_24,16.9
2012,age,25_to_49,12.9
2012,age,50_to_64,14.6
2012,age,65+,30.1
2012,education,low,33.1
2012,education,medium,16.4
2012,education,high,9.1
2012,labour,employed,8.0
2012,labour,unemployed,49.7
2012,labour,retired,31.2
2012,labour,inactive,33.7
2013,sex,M,15.1
2013,sex,F,17.5
2013,age,0_to_17,17.2
2013,age,18_to_24,14.4
2013,age,25_to_49,11.9
2013,age,50_to_64,13.4
2013,age,65+,29.6
2013,education,low,29.7
2013,education,medium,16.0
2013,education,high,8.6
2013,labour,employed,7.3
2013,labour,unemployed,44.9
2013,labour,retired,30.4
2013,labour,inactive,32.7
2014,sex,M,14.5
2014,sex,F,18.3
2014,age,0_to_17,17.3
2014,age,18_to_24,15.7
2014,age,25_to_49,12.9
2014,age,50_to_64,14.3
2014,age,65+,25.8
2014,education,low,30.6
2014,education,medium,15.3
2014,education,high,8.8
2014,labour,employed,7.4
2014,labour,unemployed,48.1
2014,labour,retired,27.3
2014,labour,inactive,33.1
2015,sex,M,16.7
2015,sex,F,19.6
2015,age,0_to_17,20.7
2015,age,18_to_24,17.0
2015,age,25_to_49,15.0
2015,age,50_to_64,15.0
2015,age,65+,26.6
2015,education,low,30.2
2015,education,medium,17.2
2015,education,high,10.9
2015,labour,employed,8.8
2015,labour,unemployed,50.5
2015,labour,retired,27.8
2015,labour,inactive,38.1
2016,sex,M,16.5
2016,sex,F,19.1
2016,age,0_to_17,20.5
2016,age,18_to_24,17.8
2016,age,25_to_49,15.0
2016,age,50_to_64,13.9
2016,age,65+,25.5
2016,education,low,31.6
2016,education,medium,17.1
2016,education,high,9.6
2016,labour,employed,8.3
2016,labour,unemployed,57.2
2016,labour,retired,26.6
2016,labour,inactive,37.7
2017,sex,M,17.1
2017,sex,F,19.1
2017,age,0_to_17,21.4
2017,age,18_to_24,16.4
2017,age,25_to_49,15.3
2017,age,50_to_64,14.1
2017,age,65+,26.1
2017,education,low,29.8
2017,education,medium,17.8
2017,education,high,10.2
2017,labour,employed,8.8
2017,labour,unemployed,51.1
2017,labour,retired,27.2
2017,labour,inactive,38.4
2018,sex,M,16.7
2018,sex,F,18.1
2018,age,0_to_17,21.0
2018,age,18_to_24,15.3
2018,age,25_to_49,15.4
2018,age,50_to_64,13.6
2018,age,65+,23.3
2018,education,low,30.5
2018,education,medium,17.3
2018,education,high,9.3
2018,labour,employed,8.0
2018,labour,unemployed,55.5
2018,labour,retired,25.0
2018,labour,inactive,38.7
2019,sex,M,18.4
2019,sex,F,19.1
2019,age,0_to_17,21.4
2019,age,18_to_24,19.3
2019,age,25_to_49,14.9
2019,age,50_to_64,15.7
2019,age,65+,27.4
2019,education,low,34.8
2019,education,medium,18.7
2019,education,high,10.5
2019,labour,employed,8.6
2019,labour,unemployed,60.1
2019,labour,retired,29.1
2019,labour,inactive,40.8
2020,sex,M,17.4
2020,sex,F,18.8
2020,age,0_to_17,22.4
2020,age,18_to_24,16.4
2020,age,25_to_49,14.9
2020,age,50_to_64,14.8
2020,age,65+,25.0
2020,education,low,31.8
2020,education,medium,18.3
2020,education,high,10.2
2020,labour,employed,8.4
2020,labour,unemployed,55.2
2020,labour,retired,25.9
2020,labour,inactive,41.1
