year,indicator,category,value
2009,Sex,Male,17.0
2009,Sex,Female,18.2
2009,Age range,Less than 18,14.0
2009,Age range,18-24,37.6
2009,Age range,25-49,15.7
2009,Age range,50-64,14.4
2009,Age range,65 and over,20.6
2009,Education,Low,25.1
2009,Education,Medium,16.5
2009,Education,High,12.7
2009,Activity status,Employed,6.6
2009,Activity status,Unemployed,67.9
2009,Activity status,Retired,20.2
2009,Activity status,Inactive,54.3
2010,Sex,Male,17.7
2010,Sex,Female,19.0
2010,Age range,Less than 18,15.1
2010,Age range,18-24,42.3
2010,Age range,25-49,17.5
2010,Age range,50-64,14.5
2010,Age range,65 and over,18.4
2010,Education,Low,25.5
2010,Education,Medium,16.7
2010,Education,High,11.9
2010,Activity status,Employed,7.1
2010,Activity status,Unemployed,66.3
2010,Activity status,Retired,17.7
2010,Activity status,Inactive,55.0
2011,Sex,Male,17.2
2011,Sex,Female,18.0
2011,Age range,Less than 18,15.7
2011,Age range,18-24,39.2
2011,Age range,25-49,17.3
2011,Age range,50-64,13.4
2011,Age range,65 and over,14.6
2011,Education,Low,24.5
2011,Education,Medium,17.3
2011,Education,High,12.0
2011,Activity status,Employed,7.3
2011,Activity status,Unemployed,65.5
2011,Activity status,Retired,13.6
2011,Activity status,Inactive,53.4
2012,Sex,Male,17.4
2012,Sex,Female,17.5
2012,Age range,Less than 18,14.9
2012,Age range,18-24,41.6
2012,Age range,25-49,17.6
2012,Age range,50-64,13.6
2012,Age range,65 and over,13.2
2012,Education,Low,25.4
2012,Education,Medium,17.0
2012,Education,High,12.0
2012,Activity status,Employed,6.4
2012,Activity status,Unemployed,57.9
2012,Activity status,Retired,13.5
2012,Activity status,Inactive,52.7
2013,Sex,Male,18.1
2013,Sex,Female,18.6
2013,Age range,Less than 18,15.4
2013,Age range,18-24,45.4
2013,Age range,25-49,19.0
2013,Age range,50-64,14.8
2013,Age range,65 and over,10.8
2013,Education,Low,24.4
2013,Education,Medium,19.1
2013,Education,High,12.3
2013,Activity status,Employed,6.7
2013,Activity status,Unemployed,58.0
2013,Activity status,Retired,10.9
2013,Activity status,Inactive,54.6
2014,Sex,Male,17.6
2014,Sex,Female,18.2
2014,Age range,Less than 18,14.5
2014,Age range,18-24,45.2
2014,Age range,25-49,18.7
2014,Age range,50-64,14.5
2014,Age range,65 and over,10.8
2014,Education,Low,22.5
2014,Education,Medium,18.9
2014,Education,High,13.9
2014,Activity status,Employed,5.7
2014,Activity status,Unemployed,60.9
2014,Activity status,Retired,11.3
2014,Activity status,Inactive,55.9
2015,Sex,Male,17.5
2015,Sex,Female,18.0
2015,Age range,Less than 18,15.7
2015,Age range,18-24,42.6
2015,Age range,25-49,19.2
2015,Age range,50-64,13.8
2015,Age range,65 and over,9.9
2015,Education,Low,23.8
2015,Education,Medium,17.3
2015,Education,High,13.2
2015,Activity status,Employed,6.7
2015,Activity status,Unemployed,60.6
2015,Activity status,Retired,9.9
2015,Activity status,Inactive,55.2
2016,Sex,Male,16.4
2016,Sex,Female,17.2
2016,Age range,Less than 18,13.9
2016,Age range,18-24,44.9
2016,Age range,25-49,18.4
2016,Age range,50-64,12.4
2016,Age range,65 and over,9.2
2016,Education,Low,21.4
2016,Education,Medium,17.8
2016,Education,High,13.0
2016,Activity status,Employed,6.5
2016,Activity status,Unemployed,61.3
2016,Activity status,Retired,10.1
2016,Activity status,Inactive,53.4
2017,Sex,Male,17.8
2017,Sex,Female,16.6
2017,Age range,Less than 18,14.5
2017,Age range,18-24,42.5
2017,Age range,25-49,19.1
2017,Age range,50-64,13.4
2017,Age range,65 and over,9.5
2017,Education,Low,25.8
2017,Education,Medium,16.5
2017,Education,High,13.9
2017,Activity status,Employed,6.9
2017,Activity status,Unemployed,60.9
2017,Activity status,Retired,9.9
2017,Activity status,Inactive,54.9
2018,Sex,Male,17.1
2018,Sex,Female,16.9
2018,Age range,Less than 18,15.1
2018,Age range,18-24,42.2
2018,Age range,25-49,18.8
2018,Age range,50-64,12.0
2018,Age range,65 and over,9.6
2018,Education,Low,23.3
2018,Education,Medium,17.6
2018,Education,High,13.1
2018,Activity status,Employed,7.5
2018,Activity status,Unemployed,58.6
2018,Activity status,Retired,10.0
2018,Activity status,Inactive,54.3
2019,Sex,Male,16.6
2019,Sex,Female,16.1
2019,Age range,Less than 18,13.2
2019,Age range,18-24,41.2
2019,Age range,25-49,17.9
2019,Age range,50-64,11.9
2019,Age range,65 and over,10.0
2019,Education,Low,23.6
2019,Education,Medium,18.0
2019,Education,High,11.9
2019,Activity status,Employed,7.2
2019,Activity status,Unemployed,60.9
2019,Activity status,Retired,10.5
2019,Activity status,Inactive,51.7
2020,Sex,Male,15.6
2020,Sex,Female,16.2
2020,Age range,Less than 18,12.4
2020,Age range,18-24,38.0
2020,Age range,25-49,17.5
2020,Age range,50-64,10.9
2020,Age range,65 and over,11.7
2020,Education,Low,23.9
2020,Education,Medium,16.9
2020,Education,High,11.7
2020,Activity status,Employed,7.2
2020,Activity status,Unemployed,65.1
2020,Activity status,Retired,12.2
2020,Activity status,Inactive,50.7
