year,indicator,category,value
2009,sex,M,21.1
2009,sex,F,25.5
2009,age,0_to_17,24.5
2009,age,18_to_24,21.8
2009,age,25_to_49,17.7
2009,age,50_to_64,23.0
2009,age,65+,35.6
2009,education,low,39.5
2009,education,medium,24.2
2009,education,high,10.4
2009,labour,employed,10.9
2009,labour,unemployed,61.3
2009,labour,retired,40.4
2009,labour,inactive,37.9
2010,sex,M,21.5
2010,sex,F,22.0
2010,age,0_to_17,24.0
2010,age,18_to_24,25.6
2010,age,25_to_49,19.6
2010,age,50_to_64,23.7
2010,age,65+,19.0
2010,education,low,33.2
2010,education,medium,23.7
2010,education,high,9.6
2010,labour,employed,9.8
2010,labour,unemployed,60.4
2010,labour,retired,22.3
2010,labour,inactive,39.2
2011,sex,M,23.2
2011,sex,F,22.9
2011,age,0_to_17,24.8
2011,age,18_to_24,29.4
2011,age,25_to_49,21.8
2011,age,50_to_64,25.7
2011,age,65+,17.0
2011,education,low,34.7
2011,education,medium,25.6
2011,education,high,10.7
2011,labour,employed,11.4
2011,labour,unemployed,62.6
2011,labour,retired,19.3
2011,labour,inactive,43.3
2012,sex,M,22.3
2012,sex,F,24.4
2012,age,0_to_17,22.4
2012,age,18_to_24,27.8
2012,age,25_to_49,20.2
2012,age,50_to_64,29.4
2012,age,65+,21.8
2012,education,low,35.5
2012,education,medium,26.6
2012,education,high,12.7
2012,labour,employed,12.6
2012,labour,unemployed,66.7
2012,labour,retired,24.8
2012,labour,inactive,43.9
2013,sex,M,22.5
2013,sex,F,24.4
2013,age,0_to_17,22.3
2013,age,18_to_24,27.1
2013,age,25_to_49,18.9
2013,age,50_to_64,27.4
2013,age,65+,28.0
2013,education,low,37.4
2013,education,medium,25.3
2013,education,high,13.9
2013,labour,employed,11.3
2013,labour,unemployed,64.3
2013,labour,retired,30.8
2013,labour,inactive,42.1
2014,sex,M,24.5
2014,sex,F,27.3
2014,age,0_to_17,23.8
2014,age,18_to_24,22.4
2014,age,25_to_49,21.2
2014,age,50_to_64,29.5
2014,age,65+,35.0
2014,education,low,39.9
2014,education,medium,28.0
2014,education,high,16.9
2014,labour,employed,14.6
2014,labour,unemployed,64.8
2014,labour,retired,38.5
2014,labour,inactive,42.0
2015,sex,M,22.2
2015,sex,F,26.0
2015,age,0_to_17,22.5
2015,age,18_to_24,22.4
2015,age,25_to_49,18.7
2015,age,50_to_64,24.4
2015,age,65+,37.0
2015,education,low,40.8
2015,education,medium,25.7
2015,education,high,14.4
2015,labour,employed,11.5
2015,labour,unemployed,62.9
2015,labour,retired,41.6
2015,labour,inactive,41.9
2016,sex,M,21.9
2016,sex,F,26.7
2016,age,0_to_17,21.2
2016,age,18_to_24,21.5
2016,age,25_to_49,18.7
2016,age,50_to_64,22.7
2016,age,65+,41.4
2016,education,low,40.3
2016,education,medium,27.2
2016,education,high,15.0
2016,labour,employed,11.4
2016,labour,unemployed,61.8
2016,labour,retired,46.8
2016,labour,inactive,40.0
2017,sex,M,21.0
2017,sex,F,25.6
2017,age,0_to_17,18.8
2017,age,18_to_24,25.6
2017,age,25_to_49,16.8
2017,age,50_to_64,21.1
2017,age,65+,42.0
2017,education,low,43.5
2017,education,medium,27.3
2017,education,high,14.1
2017,labour,employed,10.6
2017,labour,unemployed,62.0
2017,labour,retired,47.4
2017,labour,inactive,41.9
2018,sex,M,21.8
2018,sex,F,26.6
2018,age,0_to_17,17.9
2018,age,18_to_24,25.5
2018,age,25_to_49,16.9
2018,age,50_to_64,21.1
2018,age,65+,47.4
2018,education,low,45.3
2018,education,medium,28.6
2018,education,high,14.9
2018,labour,employed,11.1
2018,labour,unemployed,60.1
2018,labour,retired,54.7
2018,labour,inactive,42.7
2019,sex,M,22.0
2019,sex,F,26.3
2019,age,0_to_17,20.3
2019,age,18_to_24,21.5
2019,age,25_to_49,16.6
2019,age,50_to_64,22.6
2019,age,65+,44.6
2019,education,low,44.0
2019,education,medium,27.6
2019,education,high,15.1
2019,labour,employed,11.3
2019,labour,unemployed,63.8
2019,labour,retired,51.9
2019,labour,inactive,42.9
2020,sex,M,21.5
2020,sex,F,24.6
2020,age,0_to_17,17.7
2020,age,18_to_24,26.7
2020,age,25_to_49,15.8
2020,age,50_to_64,21.1
2020,age,65+,42.5
2020,education,low,41.3
2020,education,medium,25.8
2020,education,high,16.8
2020,labour,employed,11.4
2020,labour,unemployed,58.0
2020,labour,retired,50.0
2020,labour,inactive,41.2
