year,indicator,category,value
2009,sex,M,15.8
2009,sex,F,17.9
2009,age,0_to_17,14.0
2009,age,18_to_24,28.7
2009,age,25_to_49,12.5
2009,age,50_to_64,17.0
2009,age,65+,23.1
2009,education,low,27.0
2009,education,medium,18.5
2009,education,high,6.3
2009,labour,employed,4.6
2009,labour,unemployed,64.2
2009,labour,retired,27.6
2009,labour,inactive,35.9
2010,sex,M,16.0
2010,sex,F,17.7
2010,age,0_to_17,14.2
2010,age,18_to_24,30.9
2010,age,25_to_49,13.8
2010,age,50_to_64,16.7
2010,age,65+,19.5
2010,education,low,25.6
2010,education,medium,19.0
2010,education,high,6.7
2010,labour,employed,4.6
2010,labour,unemployed,61.4
2010,labour,retired,18.6
2010,labour,inactive,43.5
2011,sex,M,17.3
2011,sex,F,18.5
2011,age,0_to_17,16.1
2011,age,18_to_24,30.5
2011,age,25_to_49,15.0
2011,age,50_to_64,17.7
2011,age,65+,19.8
2011,education,low,26.5
2011,education,medium,21.2
2011,education,high,6.8
2011,labour,employed,4.9
2011,labour,unemployed,62.0
2011,labour,retired,18.7
2011,labour,inactive,42.9
2012,sex,M,17.0
2012,sex,F,17.4
2012,age,0_to_17,14.9
2012,age,18_to_24,29.4
2012,age,25_to_49,14.5
2012,age,50_to_64,16.9
2012,age,65+,19.5
2012,education,low,26.8
2012,education,medium,20.5
2012,education,high,6.4
2012,labour,employed,4.7
2012,labour,unemployed,61.6
2012,labour,retired,18.9
2012,labour,inactive,42.1
2013,sex,M,15.7
2013,sex,F,16.2
2013,age,0_to_17,13.0
2013,age,18_to_24,28.0
2013,age,25_to_49,13.9
2013,age,50_to_64,16.4
2013,age,65+,16.8
2013,education,low,25.0
2013,education,medium,19.2
2013,education,high,6.6
2013,labour,employed,4.5
2013,labour,unemployed,58.0
2013,labour,retired,17.1
2013,labour,inactive,41.2
2014,sex,M,16.9
2014,sex,F,17.6
2014,age,0_to_17,15.6
2014,age,18_to_24,30.4
2014,age,25_to_49,15.4
2014,age,50_to_64,16.6
2014,age,65+,17.0
2014,education,low,26.0
2014,education,medium,21.2
2014,education,high,6.5
2014,labour,employed,4.7
2014,labour,unemployed,63.9
2014,labour,retired,16.5
2014,labour,inactive,44.2
2015,sex,M,16.8
2015,sex,F,16.8
2015,age,0_to_17,14.9
2015,age,18_to_24,32.8
2015,age,25_to_49,15.4
2015,age,50_to_64,16.2
2015,age,65+,14.5
2015,education,low,25.4
2015,education,medium,20.0
2015,education,high,6.7
2015,labour,employed,4.2
2015,labour,unemployed,57.5
2015,labour,retired,14.4
2015,labour,inactive,45.4
2016,sex,M,16.6
2016,sex,F,16.6
2016,age,0_to_17,14.7
2016,age,18_to_24,30.8
2016,age,25_to_49,16.2
2016,age,50_to_64,16.2
2016,age,65+,13.6
2016,education,low,24.5
2016,education,medium,20.2
2016,education,high,6.9
2016,labour,employed,3.9
2016,labour,unemployed,57.3
2016,labour,retired,13.5
2016,labour,inactive,44.6
2017,sex,M,15.6
2017,sex,F,15.7
2017,age,0_to_17,15.1
2017,age,18_to_24,29.6
2017,age,25_to_49,14.7
2017,age,50_to_64,14.8
2017,age,65+,13.2
2017,education,low,23.4
2017,education,medium,17.7
2017,education,high,6.3
2017,labour,employed,3.5
2017,labour,unemployed,53.7
2017,labour,retired,12.9
2017,labour,inactive,41.8
2018,sex,M,16.2
2018,sex,F,16.7
2018,age,0_to_17,16.0
2018,age,18_to_24,31.8
2018,age,25_to_49,15.5
2018,age,50_to_64,15.0
2018,age,65+,14.0
2018,education,low,25.4
2018,education,medium,18.3
2018,education,high,6.9
2018,labour,employed,4.0
2018,labour,unemployed,56.6
2018,labour,retired,14.1
2018,labour,inactive,46.5
2019,sex,M,15.4
2019,sex,F,15.9
2019,age,0_to_17,14.3
2019,age,18_to_24,30.7
2019,age,25_to_49,13.3
2019,age,50_to_64,15.0
2019,age,65+,15.3
2019,education,low,26.4
2019,education,medium,17.2
2019,education,high,6.7
2019,labour,employed,3.7
2019,labour,unemployed,58.6
2019,labour,retired,15.3
2019,labour,inactive,43.2
2020,sex,M,16.2
2020,sex,F,15.8
2020,age,0_to_17,15.0
2020,age,18_to_24,32.6
2020,age,25_to_49,13.8
2020,age,50_to_64,15.6
2020,age,65+,14.7
2020,education,low,26.6
2020,education,medium,17.5
2020,education,high,7.1
2020,labour,employed,4.0
2020,labour,unemployed,63.4
2020,labour,retired,14.9
2020,labour,inactive,44.9
