year,indicator,category,value
2009,Sex,Male,17.1
2009,Sex,Female,19.7
2009,Age range,Less than 18,21.2
2009,Age range,18-24,26.6
2009,Age range,25-49,15.9
2009,Age range,50-64,20.6
2009,Age range,65 and over,13.4
2009,Education,Low,25.2
2009,Education,Medium,16.0
2009,Education,High,8.5
2009,Activity status,Employed,9.3
2009,Activity status,Unemployed,60.1
2009,Activity status,Retired,15.0
2009,Activity status,Inactive,40.4
2010,Sex,Male,18.4
2010,Sex,Female,19.9
2010,Age range,Less than 18,22.9
2010,Age range,18-24,30.3
2010,Age range,25-49,17.5
2010,Age range,50-64,19.5
2010,Age range,65 and over,11.8
2010,Education,Low,24.6
2010,Education,Medium,17.2
2010,Education,High,9.4
2010,Activity status,Employed,9.1
2010,Activity status,Unemployed,56.6
2010,Activity status,Retired,12.8
2010,Activity status,Inactive,43.4
2011,Sex,Male,18.6
2011,Sex,Female,19.9
2011,Age range,Less than 18,23.0
2011,Age range,18-24,29.1
2011,Age range,25-49,18.0
2011,Age range,50-64,19.8
2011,Age range,65 and over,11.5
2011,Education,Low,25.0
2011,Education,Medium,17.9
2011,Education,High,10.1
2011,Activity status,Employed,9.9
2011,Activity status,Unemployed,55.7
2011,Activity status,Retired,12.4
2011,Activity status,Inactive,43.7
2012,Sex,Male,18.4
2012,Sex,Female,19.6
2012,Age range,Less than 18,23.2
2012,Age range,18-24,27.8
2012,Age range,25-49,18.0
2012,Age range,50-64,19.5
2012,Age range,65 and over,11.1
2012,Education,Low,24.6
2012,Education,Medium,17.7
2012,Education,High,10.2
2012,Activity status,Employed,10.3
2012,Activity status,Unemployed,56.6
2012,Activity status,Retired,12.9
2012,Activity status,Inactive,43.3
2013,Sex,Male,17.3
2013,Sex,Female,18.9
2013,Age range,Less than 18,20.8
2013,Age range,18-24,28.2
2013,Age range,25-49,16.8
2013,Age range,50-64,19.6
2013,Age range,65 and over,10.8
2013,Education,Low,25.6
2013,Education,Medium,16.7
2013,Education,High,9.3
2013,Activity status,Employed,9.9
2013,Activity status,Unemployed,54.8
2013,Activity status,Retired,11.3
2013,Activity status,Inactive,43.9
2014,Sex,Male,17.5
2014,Sex,Female,19.5
2014,Age range,Less than 18,21.6
2014,Age range,18-24,27.0
2014,Age range,25-49,18.0
2014,Age range,50-64,20.4
2014,Age range,65 and over,10.1
2014,Education,Low,26.0
2014,Education,Medium,17.2
2014,Education,High,9.8
2014,Activity status,Employed,10.0
2014,Activity status,Unemployed,52.9
2014,Activity status,Retired,10.8
2014,Activity status,Inactive,44.5
2015,Sex,Male,17.1
2015,Sex,Female,18.2
2015,Age range,Less than 18,21.2
2015,Age range,18-24,24.7
2015,Age range,25-49,16.8
2015,Age range,50-64,20.2
2015,Age range,65 and over,9.3
2015,Education,Low,24.4
2015,Education,Medium,17.1
2015,Education,High,8.6
2015,Activity status,Employed,9.4
2015,Activity status,Unemployed,56.2
2015,Activity status,Retired,9.7
2015,Activity status,Inactive,42.5
2016,Sex,Male,17.3
2016,Sex,Female,19.1
2016,Age range,Less than 18,22.6
2016,Age range,18-24,28.9
2016,Age range,25-49,17.7
2016,Age range,50-64,17.9
2016,Age range,65 and over,10.0
2016,Education,Low,25.1
2016,Education,Medium,16.9
2016,Education,High,8.7
2016,Activity status,Employed,9.6
2016,Activity status,Unemployed,60.1
2016,Activity status,Retired,10.3
2016,Activity status,Inactive,41.0
2017,Sex,Male,16.5
2017,Sex,Female,17.6
2017,Age range,Less than 18,22.1
2017,Age range,18-24,24.2
2017,Age range,25-49,16.2
2017,Age range,50-64,17.1
2017,Age range,65 and over,9.6
2017,Education,Low,23.6
2017,Education,Medium,15.1
2017,Education,High,8.2
2017,Activity status,Employed,8.7
2017,Activity status,Unemployed,56.9
2017,Activity status,Retired,9.9
2017,Activity status,Inactive,39.7
2018,Sex,Male,17.2
2018,Sex,Female,17.6
2018,Age range,Less than 18,22.9
2018,Age range,18-24,24.2
2018,Age range,25-49,16.7
2018,Age range,50-64,17.3
2018,Age range,65 and over,9.9
2018,Education,Low,23.4
2018,Education,Medium,15.5
2018,Education,High,8.5
2018,Activity status,Employed,8.9
2018,Activity status,Unemployed,56.3
2018,Activity status,Retired,9.9
2018,Activity status,Inactive,41.2
2019,Sex,Male,17.3
2019,Sex,Female,18.5
2019,Age range,Less than 18,22.5
2019,Age range,18-24,26.7
2019,Age range,25-49,16.9
2019,Age range,50-64,18.0
2019,Age range,65 and over,11.2
2019,Education,Low,25.2
2019,Education,Medium,16.2
2019,Education,High,8.8
2019,Activity status,Employed,9.3
2019,Activity status,Unemployed,59.3
2019,Activity status,Retired,11.4
2019,Activity status,Inactive,42.7
2020,Sex,Male,18.0
2020,Sex,Female,19.2
2020,Age range,Less than 18,23.0
2020,Age range,18-24,28.2
2020,Age range,25-49,17.9
2020,Age range,50-64,19.8
2020,Age range,65 and over,10.8
2020,Education,Low,26.0
2020,Education,Medium,17.5
2020,Education,High,9.9
2020,Activity status,Employed,9.7
2020,Activity status,Unemployed,59.3
2020,Activity status,Retired,10.9
2020,Activity status,Inactive,46.1
