year,indicator,category,value
2009,sex,M,26.1
2009,sex,F,29.0
2009,age,0_to_17,30.0
2009,age,18_to_24,31.6
2009,age,25_to_49,25.5
2009,age,50_to_64,28.4
2009,age,65+,26.8
2009,education,low,36.8
2009,education,medium,24.2
2009,education,high,10.9
2009,labour,employed,18.5
2009,labour,unemployed,57.9
2009,labour,retired,26.6
2009,labour,inactive,40.0
2010,sex,M,26.0
2010,sex,F,29.3
2010,age,0_to_17,28.7
2010,age,18_to_24,38.4
2010,age,25_to_49,25.2
2010,age,50_to_64,28.3
2010,age,65+,26.7
2010,education,low,36.7
2010,education,medium,26.2
2010,education,high,10.7
2010,labour,employed,18.0
2010,labour,unemployed,59.6
2010,labour,retired,27.3
2010,labour,inactive,40.0
2011,sex,M,29.6
2011,sex,F,32.3
2011,age,0_to_17,30.4
2011,age,18_to_24,40.3
2011,age,25_to_49,28.3
2011,age,50_to_64,34.8
2011,age,65+,29.3
2011,education,low,39.8
2011,education,medium,30.5
2011,education,high,16.4
2011,labour,employed,17.6
2011,labour,unemployed,64.1
2011,labour,retired,30.4
2011,labour,inactive,45.0
2012,sex,M,33.9
2012,sex,F,35.2
2012,age,0_to_17,35.4
2012,age,18_to_24,48.3
2012,age,25_to_49,35.8
2012,age,50_to_64,37.5
2012,age,65+,23.5
2012,education,low,41.8
2012,education,medium,37.8
2012,education,high,18.1
2012,labour,employed,22.5
2012,labour,unemployed,68.2
2012,labour,retired,25.3
2012,labour,inactive,50.8
2013,sex,M,34.6
2013,sex,F,36.8
2013,age,0_to_17,38.1
2013,age,18_to_24,50.7
2013,age,25_to_49,35.6
2013,age,50_to_64,41.4
2013,age,65+,23.1
2013,education,low,41.1
2013,education,medium,38.3
2013,education,high,18.5
2013,labour,employed,20.2
2013,labour,unemployed,67.8
2013,labour,retired,25.5
2013,labour,inactive,50.1
2014,sex,M,35.3
2014,sex,F,36.7
2014,age,0_to_17,36.7
2014,age,18_to_24,53.3
2014,age,25_to_49,37.3
2014,age,50_to_64,40.4
2014,age,65+,23.0
2014,education,low,41.8
2014,education,medium,39.8
2014,education,high,18.7
2014,labour,employed,21.2
2014,labour,unemployed,69.9
2014,labour,retired,25.6
2014,labour,inactive,49.2
2015,sex,M,34.8
2015,sex,F,36.6
2015,age,0_to_17,37.8
2015,age,18_to_24,50.9
2015,age,25_to_49,36.8
2015,age,50_to_64,40.4
2015,age,65+,22.8
2015,education,low,40.8
2015,education,medium,38.4
2015,education,high,20.7
2015,labour,employed,22.4
2015,labour,unemployed,68.1
2015,labour,retired,25.1
2015,labour,inactive,47.9
2016,sex,M,34.4
2016,sex,F,36.6
2016,age,0_to_17,37.5
2016,age,18_to_24,49.7
2016,age,25_to_49,37.5
2016,age,50_to_64,40.3
2016,age,65+,22.0
2016,education,low,40.6
2016,education,medium,38.5
2016,education,high,21.1
2016,labour,employed,22.5
2016,labour,unemployed,70.1
2016,labour,retired,24.0
2016,labour,inactive,48.7
2017,sex,M,33.9
2017,sex,F,35.7
2017,age,0_to_17,36.2
2017,age,18_to_24,47.0
2017,age,25_to_49,36.6
2017,age,50_to_64,39.2
2017,age,65+,22.8
2017,education,low,40.7
2017,education,medium,37.6
2017,education,high,19.7
2017,labour,employed,22.7
2017,labour,unemployed,68.7
2017,labour,retired,23.6
2017,labour,inactive,47.7
2018,sex,M,30.9
2018,sex,F,32.6
2018,age,0_to_17,33.3
2018,age,18_to_24,43.3
2018,age,25_to_49,33.0
2018,age,50_to_64,35.8
2018,age,65+,21.3
2018,education,low,38.1
2018,education,medium,34.0
2018,education,high,17.2
2018,labour,employed,19.9
2018,labour,unemployed,64.6
2018,labour,retired,21.6
2018,labour,inactive,45.0
2019,sex,M,29.2
2019,sex,F,30.8
2019,age,0_to_17,30.5
2019,age,18_to_24,40.5
2019,age,25_to_49,31.0
2019,age,50_to_64,34.2
2019,age,65+,21.1
2019,education,low,37.8
2019,education,medium,31.6
2019,education,high,15.8
2019,labour,employed,17.9
2019,labour,unemployed,67.3
2019,labour,retired,20.6
2019,labour,inactive,44.1
2020,sex,M,27.8
2020,sex,F,29.9
2020,age,0_to_17,30.4
2020,age,18_to_24,39.3
2020,age,25_to_49,30.1
2020,age,50_to_64,31.6
2020,age,65+,20.1
2020,education,low,37.0
2020,education,medium,30.1
2020,education,high,14.5
2020,labour,employed,17.6
2020,labour,unemployed,66.0
2020,labour,retired,18.8
2020,labour,inactive,43.2
