year,indicator,category,value
2009,Sex,Male,
2009,Sex,Female,
2009,Age range,< 18,
2009,Age range,18-24,
2009,Age range,25-49,
2009,Age range,50-64,
2009,Age range,≥ 65,
2009,Education,Low,
2009,Education,Medium,
2009,Education,High,
2009,Activity status,Employed,
2009,Activity status,Unemployed,
2009,Activity status,Retired,
2009,Activity status,Inactive,
2010,Sex,Male,30.1
2010,Sex,Female,32.1
2010,Age range,< 18,29.4
2010,Age range,18-24,34.5
2010,Age range,25-49,26.4
2010,Age range,50-64,33.8
2010,Age range,≥ 65,37.5
2010,Education,Low,50.9
2010,Education,Medium,26.5
2010,Education,High,11.3
2010,Activity status,Employed,14.8
2010,Activity status,Unemployed,61.0
2010,Activity status,Retired,36.2
2010,Activity status,Inactive,48.3
2011,Sex,Male,31.7
2011,Sex,Female,33.4
2011,Age range,< 18,31.1
2011,Age range,18-24,34.7
2011,Age range,25-49,29.6
2011,Age range,50-64,35.0
2011,Age range,≥ 65,36.4
2011,Education,Low,51.6
2011,Education,Medium,29.1
2011,Education,High,13.7
2011,Activity status,Employed,15.1
2011,Activity status,Unemployed,59.9
2011,Activity status,Retired,36.8
2011,Activity status,Inactive,47.0
2012,Sex,Male,31.8
2012,Sex,Female,33.3
2012,Age range,< 18,34.8
2012,Age range,18-24,31.6
2012,Age range,25-49,30.7
2012,Age range,50-64,33.7
2012,Age range,≥ 65,33.1
2012,Education,Low,50.4
2012,Education,Medium,28.8
2012,Education,High,11.5
2012,Activity status,Employed,14.6
2012,Activity status,Unemployed,60.6
2012,Activity status,Retired,34.8
2012,Activity status,Inactive,44.7
2013,Sex,Male,29.6
2013,Sex,Female,30.2
2013,Age range,< 18,29.3
2013,Age range,18-24,32.9
2013,Age range,25-49,27.4
2013,Age range,50-64,31.7
2013,Age range,≥ 65,31.9
2013,Education,Low,47.7
2013,Education,Medium,27.1
2013,Education,High,10.9
2013,Activity status,Employed,12.7
2013,Activity status,Unemployed,58.9
2013,Activity status,Retired,32.5
2013,Activity status,Inactive,43.4
2014,Sex,Male,28.6
2014,Sex,Female,29.9
2014,Age range,< 18,29.0
2014,Age range,18-24,31.3
2014,Age range,25-49,27.4
2014,Age range,50-64,31.5
2014,Age range,≥ 65,29.7
2014,Education,Low,47.0
2014,Education,Medium,25.9
2014,Education,High,11.5
2014,Activity status,Employed,11.8
2014,Activity status,Unemployed,58.1
2014,Activity status,Retired,31.6
2014,Activity status,Inactive,43.2
2015,Sex,Male,28.4
2015,Sex,Female,29.6
2015,Age range,< 18,28.2
2015,Age range,18-24,27.9
2015,Age range,25-49,25.9
2015,Age range,50-64,32.8
2015,Age range,≥ 65,31.8
2015,Education,Low,48.2
2015,Education,Medium,25.5
2015,Education,High,10.7
2015,Activity status,Employed,11.8
2015,Activity status,Unemployed,56.6
2015,Activity status,Retired,33.3
2015,Activity status,Inactive,44.3
2016,Sex,Male,27.3
2016,Sex,Female,28.6
2016,Age range,< 18,26.6
2016,Age range,18-24,28.3
2016,Age range,25-49,24.6
2016,Age range,50-64,29.9
2016,Age range,≥ 65,32.8
2016,Education,Low,48.8
2016,Education,Medium,24.6
2016,Education,High,9.0
2016,Activity status,Employed,11.0
2016,Activity status,Unemployed,57.2
2016,Activity status,Retired,32.6
2016,Activity status,Inactive,42.9
2017,Sex,Male,25.5
2017,Sex,Female,27.2
2017,Age range,< 18,25.8
2017,Age range,18-24,25.4
2017,Age range,25-49,22.0
2017,Age range,50-64,28.3
2017,Age range,≥ 65,32.7
2017,Education,Low,47.4
2017,Education,Medium,23.2
2017,Education,High,7.8
2017,Activity status,Employed,9.7
2017,Activity status,Unemployed,57.8
2017,Activity status,Retired,32.5
2017,Activity status,Inactive,39.4
2018,Sex,Male,23.6
2018,Sex,Female,25.9
2018,Age range,< 18,23.7
2018,Age range,18-24,22.1
2018,Age range,25-49,19.6
2018,Age range,50-64,28.1
2018,Age range,≥ 65,32.0
2018,Education,Low,47.1
2018,Education,Medium,21.7
2018,Education,High,7.6
2018,Activity status,Employed,8.5
2018,Activity status,Unemployed,57.8
2018,Activity status,Retired,32.0
2018,Activity status,Inactive,37.1
2019,Sex,Male,22.1
2019,Sex,Female,24.3
2019,Age range,< 18,20.7
2019,Age range,18-24,18.9
2019,Age range,25-49,17.5
2019,Age range,50-64,26.1
2019,Age range,≥ 65,33.6
2019,Education,Low,46.8
2019,Education,Medium,20.6
2019,Education,High,6.9
2019,Activity status,Employed,8.3
2019,Activity status,Unemployed,54.1
2019,Activity status,Retired,32.7
2019,Activity status,Inactive,36.3
2020,Sex,Male,22.2
2020,Sex,Female,24.2
2020,Age range,< 18,20.2
2020,Age range,18-24,17.8
2020,Age range,25-49,18.1
2020,Age range,50-64,25.5
2020,Age range,≥ 65,33.8
2020,Education,Low,46.5
2020,Education,Medium,21.2
2020,Education,High,8.0
2020,Activity status,Employed,8.5
2020,Activity status,Unemployed,55.4
2020,Activity status,Retired,33.1
2020,Activity status,Inactive,36.6
