year,indicator,category,value
2009,Sex,Male,29.1
2009,Sex,Female,30.0
2009,Age range,< 18,37.2
2009,Age range,18-24,36.3
2009,Age range,25-49,28.9
2009,Age range,50-64,29.5
2009,Age range,≥ 65,17.5
2009,Education,Low,41.5
2009,Education,Medium,26.9
2009,Education,High,9.4
2009,Activity status,Employed,19.2
2009,Activity status,Unemployed,72.7
2009,Activity status,Retired,20.4
2009,Activity status,Inactive,44.8
2010,Sex,Male,29.4
2010,Sex,Female,30.3
2010,Age range,< 18,38.7
2010,Age range,18-24,36.2
2010,Age range,25-49,29.3
2010,Age range,50-64,29.6
2010,Age range,≥ 65,16.8
2010,Education,Low,43.1
2010,Education,Medium,26.4
2010,Education,High,10.1
2010,Activity status,Employed,18.7
2010,Activity status,Unemployed,70.8
2010,Activity status,Retired,20.5
2010,Activity status,Inactive,44.5
2011,Sex,Male,31.1
2011,Sex,Female,32.0
2011,Age range,< 18,40.4
2011,Age range,18-24,37.3
2011,Age range,25-49,30.2
2011,Age range,50-64,32.9
2011,Age range,≥ 65,19.0
2011,Education,Low,46.3
2011,Education,Medium,28.0
2011,Education,High,11.3
2011,Activity status,Employed,19.5
2011,Activity status,Unemployed,71.3
2011,Activity status,Retired,21.3
2011,Activity status,Inactive,47.4
2012,Sex,Male,32.9
2012,Sex,Female,34.0
2012,Age range,< 18,41.9
2012,Age range,18-24,39.0
2012,Age range,25-49,32.2
2012,Age range,50-64,34.3
2012,Age range,≥ 65,22.0
2012,Education,Low,51.7
2012,Education,Medium,29.3
2012,Education,High,13.1
2012,Activity status,Employed,20.9
2012,Activity status,Unemployed,78.3
2012,Activity status,Retired,23.8
2012,Activity status,Inactive,48.1
2013,Sex,Male,34.4
2013,Sex,Female,35.2
2013,Age range,< 18,43.9
2013,Age range,18-24,41.8
2013,Age range,25-49,34.0
2013,Age range,50-64,36.4
2013,Age range,≥ 65,20.2
2013,Education,Low,52.8
2013,Education,Medium,31.0
2013,Education,High,14.0
2013,Activity status,Employed,23.6
2013,Activity status,Unemployed,77.8
2013,Activity status,Retired,24.8
2013,Activity status,Inactive,50.0
2014,Sex,Male,31.4
2014,Sex,Female,32.3
2014,Age range,< 18,41.8
2014,Age range,18-24,37.3
2014,Age range,25-49,29.9
2014,Age range,50-64,33.8
2014,Age range,≥ 65,19.0
2014,Education,Low,51.2
2014,Education,Medium,28.4
2014,Education,High,9.7
2014,Activity status,Employed,20.3
2014,Activity status,Unemployed,77.4
2014,Activity status,Retired,22.5
2014,Activity status,Inactive,45.1
2015,Sex,Male,28.0
2015,Sex,Female,28.4
2015,Age range,< 18,36.1
2015,Age range,18-24,33.5
2015,Age range,25-49,26.1
2015,Age range,50-64,31.1
2015,Age range,≥ 65,17.1
2015,Education,Low,47.7
2015,Education,Medium,25.0
2015,Education,High,10.5
2015,Activity status,Employed,18.7
2015,Activity status,Unemployed,77.5
2015,Activity status,Retired,20.3
2015,Activity status,Inactive,42.9
2016,Sex,Male,26.0
2016,Sex,Female,26.5
2016,Age range,< 18,33.6
2016,Age range,18-24,33.2
2016,Age range,25-49,24.2
2016,Age range,50-64,29.4
2016,Age range,≥ 65,15.1
2016,Education,Low,44.2
2016,Education,Medium,22.8
2016,Education,High,9.9
2016,Activity status,Employed,18.4
2016,Activity status,Unemployed,70.4
2016,Activity status,Retired,18.0
2016,Activity status,Inactive,41.7
2017,Sex,Male,24.9
2017,Sex,Female,26.1
2017,Age range,< 18,31.6
2017,Age range,18-24,29.8
2017,Age range,25-49,24.2
2017,Age range,50-64,28.2
2017,Age range,≥ 65,16.8
2017,Education,Low,41.9
2017,Education,Medium,21.4
2017,Education,High,12.0
2017,Activity status,Employed,19.0
2017,Activity status,Unemployed,73.1
2017,Activity status,Retired,19.0
2017,Activity status,Inactive,38.2
2018,Sex,Male,18.9
2018,Sex,Female,20.3
2018,Age range,< 18,23.8
2018,Age range,18-24,25.4
2018,Age range,25-49,17.8
2018,Age range,50-64,22.0
2018,Age range,≥ 65,13.3
2018,Education,Low,37.1
2018,Education,Medium,15.6
2018,Education,High,6.5
2018,Activity status,Employed,12.9
2018,Activity status,Unemployed,70.0
2018,Activity status,Retired,14.9
2018,Activity status,Inactive,32.8
2019,Sex,Male,18.0
2019,Sex,Female,19.6
2019,Age range,< 18,22.4
2019,Age range,18-24,22.4
2019,Age range,25-49,16.9
2019,Age range,50-64,20.8
2019,Age range,≥ 65,14.4
2019,Education,Low,35.3
2019,Education,Medium,15.6
2019,Education,High,7.6
2019,Activity status,Employed,12.4
2019,Activity status,Unemployed,69.4
2019,Activity status,Retired,15.5
2019,Activity status,Inactive,35.0
2020,Sex,Male,17.7
2020,Sex,Female,17.8
2020,Age range,< 18,17.7
2020,Age range,18-24,18.7
2020,Age range,25-49,15.2
2020,Age range,50-64,20.0
2020,Age range,≥ 65,18.8
2020,Education,Low,38.1
2020,Education,Medium,15.5
2020,Education,High,5.6
2020,Activity status,Employed,11.0
2020,Activity status,Unemployed,62.3
2020,Activity status,Retired,19.1
2020,Activity status,Inactive,32.2
