year,indicator,category,value
2009,sex,M,25.0
2009,sex,F,26.4
2009,age,0_to_17,31.4
2009,age,18_to_24,26.4
2009,age,25_to_49,22.2
2009,age,50_to_64,28.2
2009,age,65+,17.9
2009,education,low,35.3
2009,education,medium,21.2
2009,education,high,11.1
2009,labour,employed,7.4
2009,labour,unemployed,62.8
2009,labour,retired,19.5
2009,labour,inactive,41.8
2010,sex,M,26.5
2010,sex,F,28.1
2010,age,0_to_17,34.1
2010,age,18_to_24,32.1
2010,age,25_to_49,25.1
2010,age,50_to_64,29.0
2010,age,65+,11.3
2010,education,low,33.5
2010,education,medium,24.4
2010,education,high,13.8
2010,labour,employed,7.3
2010,labour,unemployed,61.7
2010,labour,retired,13.7
2010,labour,inactive,42.7
2011,sex,M,30.5
2011,sex,F,31.3
2011,age,0_to_17,35.6
2011,age,18_to_24,43.3
2011,age,25_to_49,29.4
2011,age,50_to_64,32.2
2011,age,65+,13.8
2011,education,low,37.0
2011,education,medium,32.7
2011,education,high,17.8
2011,labour,employed,10.0
2011,labour,unemployed,69.3
2011,labour,retired,13.8
2011,labour,inactive,46.9
2012,sex,M,29.9
2012,sex,F,30.3
2012,age,0_to_17,33.2
2012,age,18_to_24,44.0
2012,age,25_to_49,28.3
2012,age,50_to_64,32.4
2012,age,65+,15.2
2012,education,low,37.0
2012,education,medium,32.5
2012,education,high,18.5
2012,labour,employed,10.7
2012,labour,unemployed,69.1
2012,labour,retired,16.7
2012,labour,inactive,48.3
2013,sex,M,29.4
2013,sex,F,30.5
2013,age,0_to_17,34.4
2013,age,18_to_24,40.3
2013,age,25_to_49,28.7
2013,age,50_to_64,31.8
2013,age,65+,13.7
2013,education,low,36.6
2013,education,medium,32.4
2013,education,high,17.2
2013,labour,employed,10.6
2013,labour,unemployed,70.3
2013,labour,retired,17.3
2013,labour,inactive,46.0
2014,sex,M,27.9
2014,sex,F,28.7
2014,age,0_to_17,31.1
2014,age,18_to_24,42.5
2014,age,25_to_49,25.5
2014,age,50_to_64,31.7
2014,age,65+,14.4
2014,education,low,35.3
2014,education,medium,32.7
2014,education,high,15.4
2014,labour,employed,10.3
2014,labour,unemployed,69.6
2014,labour,retired,17.9
2014,labour,inactive,46.5
2015,sex,M,25.7
2015,sex,F,26.6
2015,age,0_to_17,29.0
2015,age,18_to_24,37.5
2015,age,25_to_49,23.7
2015,age,50_to_64,28.1
2015,age,65+,16.2
2015,education,low,34.6
2015,education,medium,29.9
2015,education,high,13.8
2015,labour,employed,8.6
2015,labour,unemployed,66.5
2015,labour,retired,19.0
2015,labour,inactive,46.8
2016,sex,M,23.3
2016,sex,F,25.5
2016,age,0_to_17,27.3
2016,age,18_to_24,32.1
2016,age,25_to_49,20.7
2016,age,50_to_64,27.9
2016,age,65+,18.1
2016,education,low,36.5
2016,education,medium,25.6
2016,education,high,12.9
2016,labour,employed,7.6
2016,labour,unemployed,63.4
2016,labour,retired,19.0
2016,labour,inactive,46.6
2017,sex,M,21.8
2017,sex,F,23.5
2017,age,0_to_17,25.2
2017,age,18_to_24,33.8
2017,age,25_to_49,19.2
2017,age,50_to_64,24.6
2017,age,65+,16.2
2017,education,low,32.5
2017,education,medium,24.8
2017,education,high,12.6
2017,labour,employed,7.6
2017,labour,unemployed,64.4
2017,labour,retired,17.1
2017,labour,inactive,44.8
2018,sex,M,19.6
2018,sex,F,22.6
2018,age,0_to_17,24.1
2018,age,18_to_24,21.8
2018,age,25_to_49,18.2
2018,age,50_to_64,21.8
2018,age,65+,20.9
2018,education,low,35.6
2018,education,medium,21.6
2018,education,high,10.7
2018,labour,employed,7.1
2018,labour,unemployed,68.0
2018,labour,retired,20.9
2018,labour,inactive,43.1
2019,sex,M,19.6
2019,sex,F,21.5
2019,age,0_to_17,23.2
2019,age,18_to_24,25.8
2019,age,25_to_49,17.2
2019,age,50_to_64,21.4
2019,age,65+,19.4
2019,education,low,34.2
2019,education,medium,22.3
2019,education,high,10.0
2019,labour,employed,6.6
2019,labour,unemployed,55.1
2019,labour,retired,20.5
2019,labour,inactive,43.8
2020,sex,M,18.9
2020,sex,F,21.2
2020,age,0_to_17,23.2
2020,age,18_to_24,21.4
2020,age,25_to_49,17.8
2020,age,50_to_64,20.7
2020,age,65+,18.7
2020,education,low,33.1
2020,education,medium,21.7
2020,education,high,10.8
2020,labour,employed,7.7
2020,labour,unemployed,62.8
2020,labour,retired,19.1
2020,labour,inactive,41.4
