year,indicator,category,value
2009,Sex,Male,10.7
2009,Sex,Female,12.6
2009,Age range,< 18,11.2
2009,Age range,18-24,17.6
2009,Age range,25-49,11.3
2009,Age range,50-64,8.7
2009,Age range,≥ 65,12.4
2009,Education,Low,15.7
2009,Education,Medium,11.2
2009,Education,High,7.4
2009,Activity status,Employed,8.1
2009,Activity status,Unemployed,41.9
2009,Activity status,Retired,14.8
2009,Activity status,Inactive,27.2
2010,Sex,Male,13.5
2010,Sex,Female,14.0
2010,Age range,< 18,16.9
2010,Age range,18-24,19.2
2010,Age range,25-49,15.0
2010,Age range,50-64,9.2
2010,Age range,≥ 65,5.3
2010,Education,Low,15.0
2010,Education,Medium,14.3
2010,Education,High,6.7
2010,Activity status,Employed,7.6
2010,Activity status,Unemployed,48.2
2010,Activity status,Retired,6.8
2010,Activity status,Inactive,27.9
2011,Sex,Male,13.3
2011,Sex,Female,14.1
2011,Age range,< 18,16.6
2011,Age range,18-24,17.9
2011,Age range,25-49,15.3
2011,Age range,50-64,10.4
2011,Age range,≥ 65,4.5
2011,Education,Low,14.8
2011,Education,Medium,13.7
2011,Education,High,8.3
2011,Activity status,Employed,8.0
2011,Activity status,Unemployed,43.7
2011,Activity status,Retired,4.6
2011,Activity status,Inactive,27.4
2012,Sex,Male,12.6
2012,Sex,Female,12.8
2012,Age range,< 18,16.0
2012,Age range,18-24,14.9
2012,Age range,25-49,14.1
2012,Age range,50-64,9.6
2012,Age range,≥ 65,5.0
2012,Education,Low,14.9
2012,Education,Medium,11.6
2012,Education,High,7.2
2012,Activity status,Employed,6.3
2012,Activity status,Unemployed,42.9
2012,Activity status,Retired,4.1
2012,Activity status,Inactive,27.1
2013,Sex,Male,12.8
2013,Sex,Female,13.2
2013,Age range,< 18,16.6
2013,Age range,18-24,18.9
2013,Age range,25-49,14.1
2013,Age range,50-64,9.1
2013,Age range,≥ 65,4.2
2013,Education,Low,13.7
2013,Education,Medium,13.4
2013,Education,High,7.7
2013,Activity status,Employed,7.0
2013,Activity status,Unemployed,43.2
2013,Activity status,Retired,3.4
2013,Activity status,Inactive,32.1
2014,Sex,Male,10.9
2014,Sex,Female,11.6
2014,Age range,< 18,13.7
2014,Age range,18-24,11.5
2014,Age range,25-49,12.7
2014,Age range,50-64,7.8
2014,Age range,≥ 65,7.3
2014,Education,Low,12.2
2014,Education,Medium,11.4
2014,Education,High,7.3
2014,Activity status,Employed,5.3
2014,Activity status,Unemployed,37.9
2014,Activity status,Retired,8.3
2014,Activity status,Inactive,28.0
2015,Sex,Male,11.9
2015,Sex,Female,13.0
2015,Age range,< 18,15.0
2015,Age range,18-24,16.8
2015,Age range,25-49,13.7
2015,Age range,50-64,9.3
2015,Age range,≥ 65,6.2
2015,Education,Low,14.0
2015,Education,Medium,13.3
2015,Education,High,7.3
2015,Activity status,Employed,7.1
2015,Activity status,Unemployed,38.3
2015,Activity status,Retired,7.3
2015,Activity status,Inactive,28.9
2016,Sex,Male,11.8
2016,Sex,Female,12.6
2016,Age range,< 18,14.4
2016,Age range,18-24,15.6
2016,Age range,25-49,13.5
2016,Age range,50-64,9.3
2016,Age range,≥ 65,6.4
2016,Education,Low,14.5
2016,Education,Medium,13.2
2016,Education,High,7.4
2016,Activity status,Employed,7.4
2016,Activity status,Unemployed,43.5
2016,Activity status,Retired,9.9
2016,Activity status,Inactive,31.2
2017,Sex,Male,12.0
2017,Sex,Female,13.6
2017,Age range,< 18,14.3
2017,Age range,18-24,16.7
2017,Age range,25-49,14.0
2017,Age range,50-64,9.0
2017,Age range,≥ 65,9.7
2017,Education,Low,15.5
2017,Education,Medium,12.4
2017,Education,High,9.7
2017,Activity status,Employed,7.8
2017,Activity status,Unemployed,51.3
2017,Activity status,Retired,13.4
2017,Activity status,Inactive,34.0
2018,Sex,Male,10.8
2018,Sex,Female,11.3
2018,Age range,< 18,12.7
2018,Age range,18-24,12.0
2018,Age range,25-49,13.3
2018,Age range,50-64,9.0
2018,Age range,≥ 65,5.1
2018,Education,Low,13.2
2018,Education,Medium,11.7
2018,Education,High,7.2
2018,Activity status,Employed,7.4
2018,Activity status,Unemployed,36.8
2018,Activity status,Retired,6.3
2018,Activity status,Inactive,30.8
2019,Sex,Male,
2019,Sex,Female,
2019,Age range,< 18,
2019,Age range,18-24,
2019,Age range,25-49,
2019,Age range,50-64,
2019,Age range,≥ 65,
2019,Education,Low,
2019,Education,Medium,
2019,Education,High,
2019,Activity status,Employed,
2019,Activity status,Unemployed,
2019,Activity status,Retired,
2019,Activity status,Inactive,
2020,Sex,Male,
2020,Sex,Female,
2020,Age range,< 18,
2020,Age range,18-24,
2020,Age range,25-49,
2020,Age range,50-64,
2020,Age range,≥ 65,
2020,Education,Low,
2020,Education,Medium,
2020,Education,High,
2020,Activity status,Employed,
2020,Activity status,Unemployed,
2020,Activity status,Retired,
2020,Activity status,Inactive,
