year,indicator,category,value
2009,sex,Male,22.9
2009,sex,Female,26.7
2009,age,Less than 18,28.7
2009,age,18-24,29.8
2009,age,25-49,23.7
2009,age,50-64,23.9
2009,age,65 and over,22.9
2009,education,Low,30.3
2009,education,Medium,18.2
2009,education,High,11.3
2009,labour,Employed,13.4
2009,labour,Unemployed,60.5
2009,labour,Retired,19.5
2009,labour,Inactive,38.2
2009,Sex,Male,22.9
2009,Sex,Female,26.7
2009,Age range,Less than 18,28.7
2009,Age range,18-24,29.8
2009,Age range,25-49,23.7
2009,Age range,50-64,23.9
2009,Age range,65 and over,22.9
2009,Education,Low,30.3
2009,Education,Medium,18.2
2009,Education,High,11.3
2009,Activity status,Employed,13.4
2009,Activity status,Unemployed,60.5
2009,Activity status,Retired,19.5
2009,Activity status,Inactive,38.2
2010,sex,Male,23.1
2010,sex,Female,26.8
2010,age,Less than 18,29.5
2010,age,18-24,31.7
2010,age,25-49,25.2
2010,age,50-64,23.0
2010,age,65 and over,20.4
2010,education,Low,30.2
2010,education,Medium,18.6
2010,education,High,11.1
2010,labour,Employed,12.5
2010,labour,Unemployed,63.0
2010,labour,Retired,18.0
2010,labour,Inactive,39.6
2010,Sex,Male,23.1
2010,Sex,Female,26.8
2010,Age range,Less than 18,29.5
2010,Age range,18-24,31.7
2010,Age range,25-49,25.2
2010,Age range,50-64,23.0
2010,Age range,65 and over,20.4
2010,Education,Low,30.2
2010,Education,Medium,18.6
2010,Education,High,11.1
2010,Activity status,Employed,12.5
2010,Activity status,Unemployed,63.0
2010,Activity status,Retired,18.0
2010,Activity status,Inactive,39.6
2011,sex,Male,26.3
2011,sex,Female,29.8
2011,age,Less than 18,31.5
2011,age,18-24,34.0
2011,age,25-49,28.1
2011,age,50-64,27.2
2011,age,65 and over,24.0
2011,education,Low,34.7
2011,education,Medium,21.7
2011,education,High,13.0
2011,labour,Employed,16.0
2011,labour,Unemployed,67.7
2011,labour,Retired,21.3
2011,labour,Inactive,41.6
2011,Sex,Male,26.3
2011,Sex,Female,29.8
2011,Age range,Less than 18,31.5
2011,Age range,18-24,34.0
2011,Age range,25-49,28.1
2011,Age range,50-64,27.2
2011,Age range,65 and over,24.0
2011,Education,Low,34.7
2011,Education,Medium,21.7
2011,Education,High,13.0
2011,Activity status,Employed,16.0
2011,Activity status,Unemployed,67.7
2011,Activity status,Retired,21.3
2011,Activity status,Inactive,41.6
2012,sex,Male,27.8
2012,sex,Female,31.9
2012,age,Less than 18,34.1
2012,age,18-24,37.1
2012,age,25-49,30.1
2012,age,50-64,28.6
2012,age,65 and over,24.7
2012,education,Low,36.7
2012,education,Medium,23.4
2012,education,High,14.7
2012,labour,Employed,17.8
2012,labour,Unemployed,68.3
2012,labour,Retired,21.5
2012,labour,Inactive,43.3
2012,Sex,Male,27.8
2012,Sex,Female,31.9
2012,Age range,Less than 18,34.1
2012,Age range,18-24,37.1
2012,Age range,25-49,30.1
2012,Age range,50-64,28.6
2012,Age range,65 and over,24.7
2012,Education,Low,36.7
2012,Education,Medium,23.4
2012,Education,High,14.7
2012,Activity status,Employed,17.8
2012,Activity status,Unemployed,68.3
2012,Activity status,Retired,21.5
2012,Activity status,Inactive,43.3
2013,sex,Male,27.1
2013,sex,Female,29.8
2013,age,Less than 18,32.0
2013,age,18-24,36.4
2013,age,25-49,29.0
2013,age,50-64,28.6
2013,age,65 and over,22.0
