year,indicator,category,value
2009,sex,M,27.5
2009,sex,F,31.4
2009,age,0_to_17,30.8
2009,age,18_to_24,28.9
2009,age,25_to_49,25.4
2009,age,50_to_64,31.6
2009,age,65+,35.3
2009,education,low,47.8
2009,education,medium,28.7
2009,education,high,11.3
2009,labour,employed,17.4
2009,labour,unemployed,67.8
2009,labour,retired,37.7
2009,labour,inactive,48.7
2010,sex,M,33.7
2010,sex,F,34.2
2010,age,0_to_17,35.8
2010,age,18_to_24,36.3
2010,age,25_to_49,33.1
2010,age,50_to_64,36.3
2010,age,65+,29.8
2010,education,low,44.1
2010,education,medium,36.4
2010,education,high,17.7
2010,labour,employed,21.5
2010,labour,unemployed,74.7
2010,labour,retired,31.4
2010,labour,inactive,51.9
2011,sex,M,33.0
2011,sex,F,33.3
2011,age,0_to_17,34.6
2011,age,18_to_24,38.0
2011,age,25_to_49,31.6
2011,age,50_to_64,33.8
2011,age,65+,30.9
2011,education,low,45.2
2011,education,medium,35.3
2011,education,high,15.9
2011,labour,employed,18.4
2011,labour,unemployed,70.6
2011,labour,retired,32.6
2011,labour,inactive,51.4
2012,sex,M,31.4
2012,sex,F,33.4
2012,age,0_to_17,31.9
2012,age,18_to_24,35.9
2012,age,25_to_49,29.5
2012,age,50_to_64,33.3
2012,age,65+,35.7
2012,education,low,49.8
2012,education,medium,35.0
2012,education,high,13.6
2012,labour,employed,17.3
2012,labour,unemployed,72.7
2012,labour,retired,38.0
2012,labour,inactive,48.4
2013,sex,M,28.3
2013,sex,F,33.0
2013,age,0_to_17,35.4
2013,age,18_to_24,30.4
2013,age,25_to_49,27.9
2013,age,50_to_64,30.9
2013,age,65+,31.7
2013,education,low,46.3
2013,education,medium,32.5
2013,education,high,12.9
2013,labour,employed,15.6
2013,labour,unemployed,75.2
2013,labour,retired,35.6
2013,labour,inactive,44.6
2014,sex,M,25.5
2014,sex,F,28.8
2014,age,0_to_17,28.9
2014,age,18_to_24,28.0
2014,age,25_to_49,23.4
2014,age,50_to_64,27.8
2014,age,65+,31.9
2014,education,low,42.9
2014,education,medium,30.8
2014,education,high,10.0
2014,labour,employed,13.5
2014,labour,unemployed,73.2
2014,labour,retired,34.2
2014,labour,inactive,40.1
2015,sex,M,28.2
2015,sex,F,30.4
2015,age,0_to_17,32.7
2015,age,18_to_24,27.4
2015,age,25_to_49,24.5
2015,age,50_to_64,29.0
2015,age,65+,36.0
2015,education,low,50.1
2015,education,medium,31.4
2015,education,high,12.0
2015,labour,employed,14.5
2015,labour,unemployed,74.5
2015,labour,retired,38.8
2015,labour,inactive,43.9
2016,sex,M,28.5
2016,sex,F,31.5
2016,age,0_to_17,32.4
2016,age,18_to_24,32.7
2016,age,25_to_49,24.0
2016,age,50_to_64,30.1
2016,age,65+,37.4
2016,education,low,52.0
2016,education,medium,33.4
2016,education,high,12.1
2016,labour,employed,14.6
2016,labour,unemployed,73.2
2016,labour,retired,40.3
2016,labour,inactive,49.6
2017,sex,M,27.5
2017,sex,F,31.3
2017,age,0_to_17,31.6
2017,age,18_to_24,32.9
2017,age,25_to_49,22.7
2017,age,50_to_64,27.3
2017,age,65+,40.3
2017,education,low,52.9
2017,education,medium,33.3
2017,education,high,11.4
2017,labour,employed,13.4
2017,labour,unemployed,72.3
2017,labour,retired,43.7
2017,labour,inactive,50.8
2018,sex,M,25.7
2018,sex,F,30.5
2018,age,0_to_17,28.0
2018,age,18_to_24,27.6
2018,age,25_to_49,20.3
2018,age,50_to_64,27.6
2018,age,65+,42.7
2018,education,low,51.9
2018,education,medium,32.0
2018,education,high,12.5
2018,labour,employed,12.3
2018,labour,unemployed,71.9
2018,labour,retired,46.8
2018,labour,inactive,44.0
2019,sex,M,23.8
2019,sex,F,28.4
2019,age,0_to_17,26.5
2019,age,18_to_24,22.3
2019,age,25_to_49,21.5
2019,age,50_to_64,24.4
2019,age,65+,37.4
2019,education,low,46.2
2019,education,medium,29.7
2019,education,high,12.5
2019,labour,employed,12.6
2019,labour,unemployed,64.3
2019,labour,retired,41.2
2019,labour,inactive,40.8
2020,sex,M,22.2
2020,sex,F,27.1
2020,age,0_to_17,23.7
2020,age,18_to_24,22.2
2020,age,25_to_49,18.3
2020,age,50_to_64,22.9
2020,age,65+,39.4
2020,education,low,44.6
2020,education,medium,29.4
2020,education,high,11.1
2020,labour,employed,10.7
2020,labour,unemployed,64.3
2020,labour,retired,43.3
2020,labour,inactive,43.4
