year,indicator,category,value
2009,sex,Male,16.0
2009,sex,Female,19.6
2009,age,Less than 18,23.7
2009,age,18-24,27.3
2009,age,25-49,15.9
2009,age,50-64,19.4
2009,age,65 and over,6.2
2009,education,Low,24.1
2009,education,Medium,13.3
2009,education,High,6.1
2009,labour,Employed,10.5
2009,labour,Unemployed,60.7
2009,labour,Retired,8.9
2009,labour,Inactive,28.0
2009,Sex,Male,16.0
2009,Sex,Female,19.6
2009,Age range,Less than 18,23.7
2009,Age range,18-24,27.3
2009,Age range,25-49,15.9
2009,Age range,50-64,19.4
2009,Age range,65 and over,6.2
2009,Education,Low,24.1
2009,Education,Medium,13.3
2009,Education,High,6.1
2009,Activity status,Employed,10.5
2009,Activity status,Unemployed,60.7
2009,Activity status,Retired,8.9
2009,Activity status,Inactive,28.0
2010,sex,Male,16.5
2010,sex,Female,17.7
2010,age,Less than 18,22.3
2010,age,18-24,19.1
2010,age,25-49,16.4
2010,age,50-64,19.4
2010,age,65 and over,6.1
2010,education,Low,22.7
2010,education,Medium,13.7
2010,education,High,5.6
2010,labour,Employed,10.8
2010,labour,Unemployed,57.8
2010,labour,Retired,9.8
2010,labour,Inactive,25.3
2010,Sex,Male,16.5
2010,Sex,Female,17.7
2010,Age range,Less than 18,22.3
2010,Age range,18-24,19.1
2010,Age range,25-49,16.4
2010,Age range,50-64,19.4
2010,Age range,65 and over,6.1
2010,Education,Low,22.7
2010,Education,Medium,13.7
2010,Education,High,5.6
2010,Activity status,Employed,10.8
2010,Activity status,Unemployed,57.8
2010,Activity status,Retired,9.8
2010,Activity status,Inactive,25.3
2011,sex,Male,15.6
2011,sex,Female,18.0
2011,age,Less than 18,21.7
2011,age,18-24,20.8
2011,age,25-49,16.1
2011,age,50-64,19.3
2011,age,65 and over,4.7
2011,education,Low,22.5
2011,education,Medium,13.7
2011,education,High,6.1
2011,labour,Employed,10.4
2011,labour,Unemployed,61.4
2011,labour,Retired,8.6
2011,labour,Inactive,25.0
2011,Sex,Male,15.6
2011,Sex,Female,18.0
2011,Age range,Less than 18,21.7
2011,Age range,18-24,20.8
2011,Age range,25-49,16.1
2011,Age range,50-64,19.3
2011,Age range,65 and over,4.7
2011,Education,Low,22.5
2011,Education,Medium,13.7
2011,Education,High,6.1
2011,Activity status,Employed,10.4
2011,Activity status,Unemployed,61.4
2011,Activity status,Retired,8.6
2011,Activity status,Inactive,25.0
2012,sex,Male,17.3
2012,sex,Female,19.4
2012,age,Less than 18,24.6
2012,age,18-24,21.9
2012,age,25-49,17.4
2012,age,50-64,20.3
2012,age,65 and over,6.1
2012,education,Low,24.2
2012,education,Medium,14.4
2012,education,High,7.5
2012,labour,Employed,11.0
2012,labour,Unemployed,63.0
2012,labour,Retired,9.1
2012,labour,Inactive,28.6
2012,Sex,Male,17.3
2012,Sex,Female,19.4
2012,Age range,Less than 18,24.6
2012,Age range,18-24,21.9
2012,Age range,25-49,17.4
2012,Age range,50-64,20.3
2012,Age range,65 and over,6.1
2012,Education,Low,24.2
2012,Education,Medium,14.4
2012,Education,High,7.5
2012,Activity status,Employed,11.0
2012,Activity status,Unemployed,63.0
2012,Activity status,Retired,9.1
2012,Activity status,Inactive,28.6
2013,sex,Male,18.6
2013,sex,Female,19.4
2013,age,Less than 18,26.0
2013,age,18-24,22.3
2013,age,25-49,17.3
2013,age,50-64,20.9
2013,age,65 and over,7.0
2013,education,Low,25.0
2013,education,Medium,14.5
2013,education,High,7.3
2013,labour,Employed,11.8
2013,labour,Unemployed,65.7
2013,labour,Retired,8.0
2013,labour,Inactive,27.9
2013,Sex,Male,18.6
2013,Sex,Female,19.4
2013,Age range,Less than 18,26.0
2013,Age range,18-24,22.3
2013,Age range,25-49,17.3
2013,Age range,50-64,20.9
2013,Age range,65 and over,7.0
2013,Education,Low,25.0
2013,Education,Medium,14.5
2013,Education,High,7.3
2013,Activity status,Employed,11.8
2013,Activity status,Unemployed,65.7
2013,Activity status,Retired,8.0
2013,Activity status,Inactive,27.9
2014,sex,Male,18.5
2014,sex,Female,19.5
2014,age,Less than 18,26.4
2014,age,18-24,24.6
2014,age,25-49,17.6
2014,age,50-64,20.4
2014,age,65 and over,6.4
2014,education,Low,25.8
2014,education,Medium,13.7
2014,education,High,8.4
2014,labour,Employed,11.7
2014,labour,Unemployed,59.4
2014,labour,Retired,6.9
2014,labour,Inactive,30.3
2014,Sex,Male,18.5
2014,Sex,Female,19.5
2014,Age range,Less than 18,26.4
2014,Age range,18-24,24.6
2014,Age range,25-49,17.6
2014,Age range,50-64,20.4
2014,Age range,65 and over,6.4
2014,Education,Low,25.8
2014,Education,Medium,13.7
2014,Education,High,8.4
2014,Activity status,Employed,11.7
2014,Activity status,Unemployed,59.4
2014,Activity status,Retired,6.9
2014,Activity status,Inactive,30.3
2015,sex,Male,17.7
2015,sex,Female,19.3
2015,age,Less than 18,23.0
2015,age,18-24,25.1
2015,age,25-49,17.1
2015,age,50-64,20.6
2015,age,65 and over,8.2
2015,education,Low,24.5
2015,education,Medium,15.9
2015,education,High,8.8
2015,labour,Employed,12.2
2015,labour,Unemployed,53.3
2015,labour,Retired,9.9
2015,labour,Inactive,33.9
2015,Sex,Male,17.7
2015,Sex,Female,19.3
2015,Age range,Less than 18,23.0
2015,Age range,18-24,25.1
2015,Age range,25-49,17.1
2015,Age range,50-64,20.6
2015,Age range,65 and over,8.2
2015,Education,Low,24.5
2015,Education,Medium,15.9
2015,Education,High,8.8
2015,Activity status,Employed,12.2
2015,Activity status,Unemployed,53.3
2015,Activity status,Retired,9.9
2015,Activity status,Inactive,33.9
2016,sex,Male,18.2
2016,sex,Female,20.1
2016,age,Less than 18,22.0
2016,age,18-24,28.8
2016,age,25-49,17.0
2016,age,50-64,22.2
2016,age,65 and over,8.9
2016,education,Low,25.8
2016,education,Medium,15.9
2016,education,High,12.1
2016,labour,Employed,11.7
2016,labour,Unemployed,55.3
2016,labour,Retired,11.0
2016,labour,Inactive,34.5
2016,Sex,Male,18.2
2016,Sex,Female,20.1
2016,Age range,Less than 18,22.0
2016,Age range,18-24,28.8
2016,Age range,25-49,17.0
2016,Age range,50-64,22.2
