year,indicator,category,value
2009,sex,Male,36.0
2009,sex,Female,39.4
2009,age,Less than 18,38.4
2009,age,18-24,31.8
2009,age,25-49,31.0
2009,age,50-64,37.0
2009,age,65 and over,55.5
2009,education,Low,58.6
2009,education,Medium,36.1
2009,education,High,17.3
2009,labour,Employed,22.0
2009,labour,Unemployed,73.0
2009,labour,Retired,60.5
2009,labour,Inactive,47.2
2009,Sex,Male,36.0
2009,Sex,Female,39.4
2009,Age range,Less than 18,38.4
2009,Age range,18-24,31.8
2009,Age range,25-49,31.0
2009,Age range,50-64,37.0
2009,Age range,65 and over,55.5
2009,Education,Low,58.6
2009,Education,Medium,36.1
2009,Education,High,17.3
2009,Activity status,Employed,22.0
2009,Activity status,Unemployed,73.0
2009,Activity status,Retired,60.5
2009,Activity status,Inactive,47.2
2010,sex,Male,37.6
2010,sex,Female,38.6
2010,age,Less than 18,42.2
2010,age,18-24,38.7
2010,age,25-49,35.9
2010,age,50-64,39.6
2010,age,65 and over,36.8
2010,education,Low,52.2
2010,education,Medium,38.3
2010,education,High,17.3
2010,labour,Employed,23.3
2010,labour,Unemployed,69.3
2010,labour,Retired,40.7
2010,labour,Inactive,51.5
2010,Sex,Male,37.6
2010,Sex,Female,38.6
2010,Age range,Less than 18,42.2
2010,Age range,18-24,38.7
2010,Age range,25-49,35.9
2010,Age range,50-64,39.6
2010,Age range,65 and over,36.8
2010,Education,Low,52.2
2010,Education,Medium,38.3
2010,Education,High,17.3
2010,Activity status,Employed,23.3
2010,Activity status,Unemployed,69.3
2010,Activity status,Retired,40.7
2010,Activity status,Inactive,51.5
2011,sex,Male,39.9
2011,sex,Female,40.3
2011,age,Less than 18,44.1
2011,age,18-24,43.7
2011,age,25-49,39.3
2011,age,50-64,42.9
2011,age,65 and over,33.0
2011,education,Low,53.3
2011,education,Medium,41.2
2011,education,High,19.6
2011,labour,Employed,26.5
2011,labour,Unemployed,74.4
2011,labour,Retired,36.2
2011,labour,Inactive,54.3
2011,Sex,Male,39.9
2011,Sex,Female,40.3
2011,Age range,Less than 18,44.1
2011,Age range,18-24,43.7
2011,Age range,25-49,39.3
2011,Age range,50-64,42.9
2011,Age range,65 and over,33.0
2011,Education,Low,53.3
2011,Education,Medium,41.2
2011,Education,High,19.6
2011,Activity status,Employed,26.5
2011,Activity status,Unemployed,74.4
2011,Activity status,Retired,36.2
2011,Activity status,Inactive,54.3
2012,sex,Male,35.5
2012,sex,Female,36.8
2012,age,Less than 18,40.0
2012,age,18-24,37.4
2012,age,25-49,34.2
2012,age,50-64,38.2
2012,age,65 and over,33.7
2012,education,Low,50.2
2012,education,Medium,37.5
2012,education,High,16.4
2012,labour,Employed,22.4
2012,labour,Unemployed,72.1
2012,labour,Retired,36.3
2012,labour,Inactive,50.7
2012,Sex,Male,35.5
2012,Sex,Female,36.8
2012,Age range,Less than 18,40.0
