year,indicator,category,value
2009,Sex,Male,
2009,Sex,Female,
2009,Age range,< 18,
2009,Age range,18-24,
2009,Age range,25-49,
2009,Age range,50-64,
2009,Age range,≥ 65,
2009,Education,Low,
2009,Education,Medium,
2009,Education,High,
2009,Activity status,Employed,
2009,Activity status,Unemployed,
2009,Activity status,Retired,
2009,Activity status,Inactive,
2010,Sex,Male,47.5
2010,Sex,Female,47.0
2010,Age range,< 18,49.9
2010,Age range,18-24,49.6
2010,Age range,25-49,46.5
2010,Age range,50-64,48.0
2010,Age range,≥ 65,40.9
2010,Education,Low,
2010,Education,Medium,
2010,Education,High,
2010,Activity status,Employed,
2010,Activity status,Unemployed,
2010,Activity status,Retired,
2010,Activity status,Inactive,
2011,Sex,Male,51.0
2011,Sex,Female,49.9
2011,Age range,< 18,53.6
2011,Age range,18-24,51.6
2011,Age range,25-49,49.6
2011,Age range,50-64,49.0
2011,Age range,≥ 65,48.3
2011,Education,Low,
2011,Education,Medium,
2011,Education,High,
2011,Activity status,Employed,
2011,Activity status,Unemployed,
2011,Activity status,Retired,
2011,Activity status,Inactive,
2012,Sex,Male,50.3
2012,Sex,Female,50.4
2012,Age range,< 18,53.5
2012,Age range,18-24,52.6
2012,Age range,25-49,48.4
2012,Age range,50-64,49.3
2012,Age range,≥ 65,50.0
2012,Education,Low,66.1
2012,Education,Medium,44.0
2012,Education,High,21.3
2012,Activity status,Employed,33.3
2012,Activity status,Unemployed,73.2
2012,Activity status,Retired,41.7
2012,Activity status,Inactive,58.6
2013,Sex,Male,48.4
2013,Sex,Female,47.8
2013,Age range,< 18,50.5
2013,Age range,18-24,52.7
2013,Age range,25-49,46.8
2013,Age range,50-64,47.9
2013,Age range,≥ 65,44.0
2013,Education,Low,60.7
2013,Education,Medium,44.1
2013,Education,High,20.9
2013,Activity status,Employed,35.1
2013,Activity status,Unemployed,70.0
2013,Activity status,Retired,36.9
2013,Activity status,Inactive,54.3
2014,Sex,Male,43.5
2014,Sex,Female,43.0
2014,Age range,< 18,46.9
2014,Age range,18-24,46.6
2014,Age range,25-49,42.1
2014,Age range,50-64,43.0
2014,Age range,≥ 65,38.5
2014,Education,Low,57.7
2014,Education,Medium,38.1
2014,Education,High,19.1
2014,Activity status,Employed,27.8
2014,Activity status,Unemployed,66.2
2014,Activity status,Retired,30.1
2014,Activity status,Inactive,51.4
2015,Sex,Male,41.3
2015,Sex,Female,41.8
2015,Age range,< 18,46.1
2015,Age range,18-24,44.9
2015,Age range,25-49,41.2
2015,Age range,50-64,40.0
2015,Age range,≥ 65,35.2
2015,Education,Low,54.9
2015,Education,Medium,37.0
2015,Education,High,18.8
2015,Activity status,Employed,26.0
2015,Activity status,Unemployed,64.5
2015,Activity status,Retired,27.7
2015,Activity status,Inactive,49.9
2016,Sex,Male,41.2
2016,Sex,Female,41.0
2016,Age range,< 18,46.1
2016,Age range,18-24,43.8
2016,Age range,25-49,41.1
2016,Age range,50-64,39.0
2016,Age range,≥ 65,34.6
2016,Education,Low,54.9
2016,Education,Medium,35.8
2016,Education,High,19.5
2016,Activity status,Employed,26.4
2016,Activity status,Unemployed,63.9
2016,Activity status,Retired,27.1
2016,Activity status,Inactive,50.2
2017,Sex,Male,41.7
2017,Sex,Female,41.5
2017,Age range,< 18,47.2
2017,Age range,18-24,45.9
2017,Age range,25-49,40.4
2017,Age range,50-64,39.3
2017,Age range,≥ 65,36.6
2017,Education,Low,58.3
2017,Education,Medium,34.2
2017,Education,High,18.7
2017,Activity status,Employed,25.6
2017,Activity status,Unemployed,64.1
2017,Activity status,Retired,28.1
2017,Activity status,Inactive,53.3
2018,Sex,Male,41.2
2018,Sex,Female,41.1
2018,Age range,< 18,45.9
2018,Age range,18-24,46.2
2018,Age range,25-49,40.3
2018,Age range,50-64,39.5
2018,Age range,≥ 65,35.8
2018,Education,Low,58.7
2018,Education,Medium,34.2
2018,Education,High,18.5
2018,Activity status,Employed,25.1
2018,Activity status,Unemployed,67.9
2018,Activity status,Retired,27.0
2018,Activity status,Inactive,53.5
2019,Sex,Male,39.8
2019,Sex,Female,40.1
2019,Age range,< 18,44.0
2019,Age range,18-24,43.3
2019,Age range,25-49,39.1
2019,Age range,50-64,39.7
2019,Age range,≥ 65,34.5
2019,Education,Low,58.1
2019,Education,Medium,34.2
2019,Education,High,15.9
2019,Activity status,Employed,25.1
2019,Activity status,Unemployed,63.9
2019,Activity status,Retired,25.5
2019,Activity status,Inactive,54.3
2020,Sex,Male,39.9
2020,Sex,Female,39.7
2020,Age range,< 18,46.3
2020,Age range,18-24,42.3
2020,Age range,25-49,39.7
2020,Age range,50-64,38.7
2020,Age range,≥ 65,31.6
2020,Education,Low,56.3
2020,Education,Medium,33.4
2020,Education,High,17.4
2020,Activity status,Employed,24.5
2020,Activity status,Unemployed,67.7
2020,Activity status,Retired,22.8
2020,Activity status,Inactive,53.0
