year,indicator,category,value
2009,sex,M,
2009,sex,F,
2009,age,0_to_17,
2009,age,18_to_24,
2009,age,25_to_49,
2009,age,50_to_64,
2009,age,65+,
2009,education,low,
2009,education,medium,
2009,education,high,
2009,labour,employed,
2009,labour,unemployed,
2009,labour,retired,
2009,labour,inactive,
2010,sex,M,
2010,sex,F,
2010,age,0_to_17,
2010,age,18_to_24,
2010,age,25_to_49,
2010,age,50_to_64,
2010,age,65+,
2010,education,low,
2010,education,medium,
2010,education,high,
2010,labour,employed,
2010,labour,unemployed,
2010,labour,retired,
2010,labour,inactive,
2011,sex,M,
2011,sex,F,
2011,age,0_to_17,
2011,age,18_to_24,
2011,age,25_to_49,
2011,age,50_to_64,
2011,age,65+,
2011,education,low,
2011,education,medium,
2011,education,high,
2011,labour,employed,
2011,labour,unemployed,
2011,labour,retired,
2011,labour,inactive,
2012,sex,M,
2012,sex,F,
2012,age,0_to_17,
2012,age,18_to_24,
2012,age,25_to_49,
2012,age,50_to_64,
2012,age,65+,
2012,education,low,
2012,education,medium,
2012,education,high,
2012,labour,employed,
2012,labour,unemployed,
2012,labour,retired,
2012,labour,inactive,
2013,sex,M,36.7
2013,sex,F,38.0
2013,age,0_to_17,43.0
2013,age,18_to_24,38.4
2013,age,25_to_49,36.1
2013,age,50_to_64,37.4
2013,age,65+,28.3
2013,education,low,51.9
2013,education,medium,35.4
2013,education,high,14.4
2013,labour,employed,11.7
2013,labour,unemployed,67.2
2013,labour,retired,31.7
2013,labour,inactive,45.0
2014,sex,M,37.6
2014,sex,F,37.4
2014,age,0_to_17,44.9
2014,age,18_to_24,43.7
2014,age,25_to_49,36.8
2014,age,50_to_64,36.9
2014,age,65+,20.4
2014,education,low,49.7
2014,education,medium,37.0
2014,education,high,13.7
2014,labour,employed,14.4
2014,labour,unemployed,65.6
2014,labour,retired,27.7
2014,labour,inactive,48.0
2015,sex,M,35.9
2015,sex,F,35.9
2015,age,0_to_17,42.2
2015,age,18_to_24,39.7
2015,age,25_to_49,35.2
2015,age,50_to_64,35.9
2015,age,65+,23.8
2015,education,low,50.8
2015,education,medium,35.0
2015,education,high,14.5
2015,labour,employed,13.7
2015,labour,unemployed,62.5
2015,labour,retired,27.0
2015,labour,inactive,47.5
2016,sex,M,35.2
2016,sex,F,34.0
2016,age,0_to_17,40.1
2016,age,18_to_24,42.7
2016,age,25_to_49,33.7
2016,age,50_to_64,34.5
2016,age,65+,21.2
2016,education,low,50.9
2016,education,medium,33.7
2016,education,high,12.9
2016,labour,employed,12.0
2016,labour,unemployed,63.3
2016,labour,retired,25.2
2016,labour,inactive,46.1
2017,sex,M,34.6
2017,sex,F,32.8
2017,age,0_to_17,40.3
2017,age,18_to_24,37.9
2017,age,25_to_49,32.9
2017,age,50_to_64,34.4
2017,age,65+,21.1
2017,education,low,48.5
2017,education,medium,32.5
2017,education,high,12.1
2017,labour,employed,11.4
2017,labour,unemployed,64.2
2017,labour,retired,24.3
2017,labour,inactive,45.3
2018,sex,M,31.7
2018,sex,F,31.1
2018,age,0_to_17,39.4
2018,age,18_to_24,34.9
2018,age,25_to_49,29.8
2018,age,50_to_64,30.8
2018,age,65+,17.0
2018,education,low,49.7
2018,education,medium,27.7
2018,education,high,12.1
2018,labour,employed,8.7
2018,labour,unemployed,62.8
2018,labour,retired,19.3
2018,labour,inactive,44.3
2019,sex,M,30.5
2019,sex,F,30.5
2019,age,0_to_17,38.4
2019,age,18_to_24,36.3
2019,age,25_to_49,28.1
2019,age,50_to_64,29.9
2019,age,65+,19.0
2019,education,low,47.3
2019,education,medium,26.3
2019,education,high,11.8
2019,labour,employed,10.5
2019,labour,unemployed,58.4
2019,labour,retired,19.5
2019,labour,inactive,45.6
2020,sex,M,30.9
2020,sex,F,30.8
2020,age,0_to_17,38.6
2020,age,18_to_24,33.8
2020,age,25_to_49,28.6
2020,age,50_to_64,29.9
2020,age,65+,22.1
2020,education,low,49.8
2020,education,medium,26.7
2020,education,high,12.9
2020,labour,employed,13.7
2020,labour,unemployed,58.3
2020,labour,retired,22.9
2020,labour,inactive,42.6
