year,indicator,category,value
2009,Sex,Male,14.3
2009,Sex,Female,15.9
2009,Age range,Less than 18,17.5
2009,Age range,18-24,26.5
2009,Age range,25-49,14.2
2009,Age range,50-64,14.5
2009,Age range,65 and over,8.1
2009,Education,Low,16.6
2009,Education,Medium,15.1
2009,Education,High,10.9
2009,Activity status,Employed,5.8
2009,Activity status,Unemployed,77.4
2009,Activity status,Retired,8.9
2009,Activity status,Inactive,37.0
2010,Sex,Male,14.1
2010,Sex,Female,16.0
2010,Age range,Less than 18,16.9
2010,Age range,18-24,27.9
2010,Age range,25-49,14.5
2010,Age range,50-64,15.1
2010,Age range,65 and over,6.2
2010,Education,Low,16.8
2010,Education,Medium,14.7
2010,Education,High,11.8
2010,Activity status,Employed,6.0
2010,Activity status,Unemployed,70.1
2010,Activity status,Retired,7.3
2010,Activity status,Inactive,37.6
2011,Sex,Male,14.9
2011,Sex,Female,16.6
2011,Age range,Less than 18,18.0
2011,Age range,18-24,27.1
2011,Age range,25-49,15.0
2011,Age range,50-64,16.2
2011,Age range,65 and over,6.9
2011,Education,Low,19.1
2011,Education,Medium,15.7
2011,Education,High,10.0
2011,Activity status,Employed,6.6
2011,Activity status,Unemployed,66.0
2011,Activity status,Retired,8.6
2011,Activity status,Inactive,40.2
2012,Sex,Male,13.6
2012,Sex,Female,16.3
2012,Age range,Less than 18,16.9
2012,Age range,18-24,24.1
2012,Age range,25-49,14.4
2012,Age range,50-64,16.8
2012,Age range,65 and over,6.2
2012,Education,Low,16.6
2012,Education,Medium,15.5
2012,Education,High,10.9
2012,Activity status,Employed,5.6
2012,Activity status,Unemployed,69.3
2012,Activity status,Retired,7.5
2012,Activity status,Inactive,37.8
2013,Sex,Male,14.9
2013,Sex,Female,16.9
2013,Age range,Less than 18,17.0
2013,Age range,18-24,28.0
2013,Age range,25-49,14.8
2013,Age range,50-64,19.2
2013,Age range,65 and over,6.1
2013,Education,Low,17.5
2013,Education,Medium,17.8
2013,Education,High,11.1
2013,Activity status,Employed,5.8
2013,Activity status,Unemployed,68.9
2013,Activity status,Retired,7.6
2013,Activity status,Inactive,43.0
2014,Sex,Male,15.8
2014,Sex,Female,17.2
2014,Age range,Less than 18,17.1
2014,Age range,18-24,28.4
2014,Age range,25-49,15.8
2014,Age range,50-64,19.9
2014,Age range,65 and over,6.9
2014,Education,Low,18.7
2014,Education,Medium,18.7
2014,Education,High,11.0
2014,Activity status,Employed,6.2
2014,Activity status,Unemployed,69.5
2014,Activity status,Retired,9.3
2014,Activity status,Inactive,43.1
2015,Sex,Male,15.9
2015,Sex,Female,16.9
2015,Age range,Less than 18,16.8
2015,Age range,18-24,30.9
2015,Age range,25-49,15.7
2015,Age range,50-64,19.6
2015,Age range,65 and over,6.1
2015,Education,Low,19.8
2015,Education,Medium,18.1
2015,Education,High,10.7
2015,Activity status,Employed,6.1
2015,Activity status,Unemployed,67.7
2015,Activity status,Retired,7.5
2015,Activity status,Inactive,43.1
2016,Sex,Male,16.1
2016,Sex,Female,17.3
2016,Age range,Less than 18,17.6
2016,Age range,18-24,29.2
2016,Age range,25-49,15.4
2016,Age range,50-64,18.4
2016,Age range,65 and over,10.0
2016,Education,Low,21.1
2016,Education,Medium,17.6
2016,Education,High,10.8
2016,Activity status,Employed,6.5
2016,Activity status,Unemployed,71.5
2016,Activity status,Retired,11.6
2016,Activity status,Inactive,41.0
2017,Sex,Male,16.7
2017,Sex,Female,17.3
2017,Age range,Less than 18,16.6
2017,Age range,18-24,32.4
2017,Age range,25-49,15.7
2017,Age range,50-64,18.6
2017,Age range,65 and over,10.6
2017,Education,Low,21.7
2017,Education,Medium,19.4
2017,Education,High,10.5
2017,Activity status,Employed,7.0
2017,Activity status,Unemployed,72.5
2017,Activity status,Retired,12.2
2017,Activity status,Inactive,43.2
2018,Sex,Male,16.3
2018,Sex,Female,17.2
2018,Age range,Less than 18,15.2
2018,Age range,18-24,31.7
2018,Age range,25-49,15.0
2018,Age range,50-64,18.8
2018,Age range,65 and over,11.8
2018,Education,Low,21.9
2018,Education,Medium,18.8
2018,Education,High,11.2
2018,Activity status,Employed,7.0
2018,Activity status,Unemployed,73.0
2018,Activity status,Retired,13.5
2018,Activity status,Inactive,42.2
2019,Sex,Male,16.1
2019,Sex,Female,17.0
2019,Age range,Less than 18,15.5
2019,Age range,18-24,31.4
2019,Age range,25-49,14.6
2019,Age range,50-64,17.8
2019,Age range,65 and over,12.6
2019,Education,Low,21.5
2019,Education,Medium,18.6
2019,Education,High,10.5
2019,Activity status,Employed,6.4
2019,Activity status,Unemployed,75.7
2019,Activity status,Retired,13.5
2019,Activity status,Inactive,43.8
2020,Sex,Male,15.7
2020,Sex,Female,16.5
2020,Age range,Less than 18,15.8
2020,Age range,18-24,26.9
2020,Age range,25-49,15.1
2020,Age range,50-64,16.9
2020,Age range,65 and over,12.2
2020,Education,Low,21.3
2020,Education,Medium,17.1
2020,Education,High,11.1
2020,Activity status,Employed,6.4
2020,Activity status,Unemployed,74.3
2020,Activity status,Retired,13.1
2020,Activity status,Inactive,40.5
