year,indicator,category,value
2009,Sex,Male,13.7
2009,Sex,Female,16.8
2009,Age range,Less than 18,14.3
2009,Age range,18-24,41.2
2009,Age range,25-49,13.3
2009,Age range,50-64,10.2
2009,Age range,65 and over,12.3
2009,Education,Low,24.3
2009,Education,Medium,13.0
2009,Education,High,8.0
2009,Activity status,Employed,6.4
2009,Activity status,Unemployed,63.3
2009,Activity status,Retired,13.3
2009,Activity status,Inactive,49.6
2010,Sex,Male,13.8
2010,Sex,Female,15.9
2010,Age range,Less than 18,14.6
2010,Age range,18-24,37.4
2010,Age range,25-49,13.0
2010,Age range,50-64,10.9
2010,Age range,65 and over,12.3
2010,Education,Low,24.7
2010,Education,Medium,12.4
2010,Education,High,10.1
2010,Activity status,Employed,6.0
2010,Activity status,Unemployed,48.3
2010,Activity status,Retired,12.9
2010,Activity status,Inactive,48.6
2011,Sex,Male,13.5
2011,Sex,Female,15.5
2011,Age range,Less than 18,12.9
2011,Age range,18-24,40.5
2011,Age range,25-49,14.0
2011,Age range,50-64,9.2
2011,Age range,65 and over,11.4
2011,Education,Low,25.2
2011,Education,Medium,12.3
2011,Education,High,10.0
2011,Activity status,Employed,6.5
2011,Activity status,Unemployed,50.4
2011,Activity status,Retired,12.3
2011,Activity status,Inactive,46.4
2012,Sex,Male,12.9
2012,Sex,Female,14.5
2012,Age range,Less than 18,12.0
2012,Age range,18-24,36.3
2012,Age range,25-49,13.2
2012,Age range,50-64,10.0
2012,Age range,65 and over,9.6
2012,Education,Low,25.9
2012,Education,Medium,11.9
2012,Education,High,9.6
2012,Activity status,Employed,5.5
2012,Activity status,Unemployed,62.6
2012,Activity status,Retired,10.2
2012,Activity status,Inactive,47.4
2013,Sex,Male,13.4
2013,Sex,Female,14.9
2013,Age range,Less than 18,13.4
2013,Age range,18-24,39.7
2013,Age range,25-49,12.6
2013,Age range,50-64,9.6
2013,Age range,65 and over,9.8
2013,Education,Low,24.6
2013,Education,Medium,11.7
2013,Education,High,8.8
2013,Activity status,Employed,6.2
2013,Activity status,Unemployed,64.6
2013,Activity status,Retired,11.1
2013,Activity status,Inactive,45.9
2014,Sex,Male,12.4
2014,Sex,Female,14.5
2014,Age range,Less than 18,11.9
2014,Age range,18-24,39.4
2014,Age range,25-49,12.0
2014,Age range,50-64,9.3
2014,Age range,65 and over,9.9
2014,Education,Low,23.8
2014,Education,Medium,13.7
2014,Education,High,8.4
2014,Activity status,Employed,5.5
2014,Activity status,Unemployed,57.5
2014,Activity status,Retired,11.0
2014,Activity status,Inactive,47.6
2015,Sex,Male,13.3
2015,Sex,Female,16.6
2015,Age range,Less than 18,13.7
2015,Age range,18-24,40.3
2015,Age range,25-49,14.7
2015,Age range,50-64,10.1
2015,Age range,65 and over,9.2
2015,Education,Low,26.5
2015,Education,Medium,13.9
2015,Education,High,8.6
2015,Activity status,Employed,6.1
2015,Activity status,Unemployed,67.8
2015,Activity status,Retired,10.6
2015,Activity status,Inactive,49.7
2016,Sex,Male,13.4
2016,Sex,Female,17.1
2016,Age range,Less than 18,14.9
2016,Age range,18-24,40.6
2016,Age range,25-49,15.2
2016,Age range,50-64,9.8
2016,Age range,65 and over,9.5
2016,Education,Low,26.8
2016,Education,Medium,13.3
2016,Education,High,9.3
2016,Activity status,Employed,6.2
2016,Activity status,Unemployed,65.1
2016,Activity status,Retired,10.9
2016,Activity status,Inactive,49.6
2017,Sex,Male,14.8
2017,Sex,Female,17.1
2017,Age range,Less than 18,16.4
2017,Age range,18-24,41.8
2017,Age range,25-49,15.3
2017,Age range,50-64,12.3
2017,Age range,65 and over,8.6
2017,Education,Low,26.1
2017,Education,Medium,14.1
2017,Education,High,9.9
2017,Activity status,Employed,6.6
2017,Activity status,Unemployed,62.1
2017,Activity status,Retired,9.4
2017,Activity status,Inactive,52.4
2018,Sex,Male,15.3
2018,Sex,Female,17.2
2018,Age range,Less than 18,15.6
2018,Age range,18-24,44.7
2018,Age range,25-49,16.3
2018,Age range,50-64,11.8
2018,Age range,65 and over,7.9
2018,Education,Low,27.8
2018,Education,Medium,14.7
2018,Education,High,10.1
2018,Activity status,Employed,6.5
2018,Activity status,Unemployed,67.3
2018,Activity status,Retired,8.0
2018,Activity status,Inactive,57.0
2019,Sex,Male,15.4
2019,Sex,Female,16.9
2019,Age range,Less than 18,16.0
2019,Age range,18-24,43.0
2019,Age range,25-49,15.6
2019,Age range,50-64,12.8
2019,Age range,65 and over,8.7
2019,Education,Low,28.7
2019,Education,Medium,13.9
2019,Education,High,9.9
2019,Activity status,Employed,7.3
2019,Activity status,Unemployed,64.8
2019,Activity status,Retired,8.7
2019,Activity status,Inactive,53.8
2020,Sex,Male,14.7
2020,Sex,Female,17.1
2020,Age range,Less than 18,16.3
2020,Age range,18-24,42.1
2020,Age range,25-49,16.2
2020,Age range,50-64,10.9
2020,Age range,65 and over,8.7
2020,Education,Low,27.4
2020,Education,Medium,13.9
2020,Education,High,9.4
2020,Activity status,Employed,6.5
2020,Activity status,Unemployed,59.0
2020,Activity status,Retired,8.8
2020,Activity status,Inactive,54.8
