year,indicator,category,value
2009,sex,Male,24.0
2009,sex,Female,25.8
2009,age,Less than 18,28.7
2009,age,18-24,25.9
2009,age,25-49,21.6
2009,age,50-64,26.4
2009,age,65 and over,26.0
2009,education,Low,26.2
2009,education,Medium,13.0
2009,education,High,6.9
2009,labour,Employed,14.6
2009,labour,Unemployed,53.0
2009,labour,Retired,26.0
2009,labour,Inactive,41.5
2009,Sex,Male,24.0
2009,Sex,Female,25.8
2009,Age range,Less than 18,28.7
2009,Age range,18-24,25.9
2009,Age range,25-49,21.6
2009,Age range,50-64,26.4
2009,Age range,65 and over,26.0
2009,Education,Low,26.2
2009,Education,Medium,13.0
2009,Education,High,6.9
2009,Activity status,Employed,14.6
2009,Activity status,Unemployed,53.0
2009,Activity status,Retired,26.0
2009,Activity status,Inactive,41.5
2010,sex,Male,24.8
2010,sex,Female,25.8
2010,age,Less than 18,28.7
2010,age,18-24,26.1
2010,age,25-49,22.3
2010,age,50-64,26.9
2010,age,65 and over,26.1
2010,education,Low,26.9
2010,education,Medium,14.6
2010,education,High,8.0
2010,labour,Employed,14.1
2010,labour,Unemployed,54.3
2010,labour,Retired,26.5
2010,labour,Inactive,40.8
2010,Sex,Male,24.8
2010,Sex,Female,25.8
2010,Age range,Less than 18,28.7
2010,Age range,18-24,26.1
2010,Age range,25-49,22.3
2010,Age range,50-64,26.9
2010,Age range,65 and over,26.1
2010,Education,Low,26.9
2010,Education,Medium,14.6
2010,Education,High,8.0
2010,Activity status,Employed,14.1
2010,Activity status,Unemployed,54.3
2010,Activity status,Retired,26.5
2010,Activity status,Inactive,40.8
2011,sex,Male,23.8
2011,sex,Female,25.1
2011,age,Less than 18,28.6
2011,age,18-24,26.5
2011,age,25-49,21.4
2011,age,50-64,25.6
2011,age,65 and over,24.5
2011,education,Low,26.1
2011,education,Medium,15.1
2011,education,High,7.0
2011,labour,Employed,13.5
2011,labour,Unemployed,54.2
2011,labour,Retired,24.4
2011,labour,Inactive,39.5
2011,Sex,Male,23.8
2011,Sex,Female,25.1
2011,Age range,Less than 18,28.6
2011,Age range,18-24,26.5
2011,Age range,25-49,21.4
2011,Age range,50-64,25.6
2011,Age range,65 and over,24.5
2011,Education,Low,26.1
2011,Education,Medium,15.1
2011,Education,High,7.0
2011,Activity status,Employed,13.5
2011,Activity status,Unemployed,54.2
2011,Activity status,Retired,24.4
2011,Activity status,Inactive,39.5
2012,sex,Male,24.6
2012,sex,Female,25.9
2012,age,Less than 18,27.8
2012,age,18-24,31.3
2012,age,25-49,23.2
2012,age,50-64,27.6
2012,age,65 and over,22.2
2012,education,Low,27.3
2012,education,Medium,18.3
2012,education,High,8.4
2012,labour,Employed,13.8
2012,labour,Unemployed,59.4
2012,labour,Retired,22.9
2012,labour,Inactive,42.4
2012,Sex,Male,24.6
2012,Sex,Female,25.9
2012,Age range,Less than 18,27.8
2012,Age range,18-24,31.3
2012,Age range,25-49,23.2
2012,Age range,50-64,27.6
2012,Age range,65 and over,22.2
2012,Education,Low,27.3
2012,Education,Medium,18.3
2012,Education,High,8.4
2012,Activity status,Employed,13.8
2012,Activity status,Unemployed,59.4
2012,Activity status,Retired,22.9
2012,Activity status,Inactive,42.4
2013,sex,Male,27.5
2013,sex,Female,27.4
2013,age,Less than 18,31.7
2013,age,18-24,33.1
2013,age,25-49,26.4
2013,age,50-64,30.3
2013,age,65 and over,20.3
2013,education,Low,31.1
2013,education,Medium,18.9
2013,education,High,8.6
2013,labour,Employed,15.6
2013,labour,Unemployed,59.9
2013,labour,Retired,20.9
2013,labour,Inactive,44.3
2013,Sex,Male,27.5
2013,Sex,Female,27.4
2013,Age range,Less than 18,31.7
2013,Age range,18-24,33.1
2013,Age range,25-49,26.4
2013,Age range,50-64,30.3
2013,Age range,65 and over,20.3
2013,Education,Low,31.1
2013,Education,Medium,18.9
2013,Education,High,8.6
2013,Activity status,Employed,15.6
2013,Activity status,Unemployed,59.9
2013,Activity status,Retired,20.9
2013,Activity status,Inactive,44.3
2014,sex,Male,26.7
2014,sex,Female,28.1
2014,age,Less than 18,31.4
2014,age,18-24,34.4
2014,age,25-49,25.4
2014,age,50-64,31.2
2014,age,65 and over,21.1
2014,education,Low,32.2
2014,education,Medium,19.7
2014,education,High,10.8
2014,labour,Employed,15.0
2014,labour,Unemployed,59.4
2014,labour,Retired,21.3
2014,labour,Inactive,45.5
2014,Sex,Male,26.7
2014,Sex,Female,28.1
2014,Age range,Less than 18,31.4
2014,Age range,18-24,34.4
2014,Age range,25-49,25.4
2014,Age range,50-64,31.2
2014,Age range,65 and over,21.1
2014,Education,Low,32.2
2014,Education,Medium,19.7
2014,Education,High,10.8
2014,Activity status,Employed,15.0
2014,Activity status,Unemployed,59.4
2014,Activity status,Retired,21.3
2014,Activity status,Inactive,45.5
2015,sex,Male,25.9
2015,sex,Female,27.3
2015,age,Less than 18,29.6
2015,age,18-24,31.5
2015,age,25-49,24.4
2015,age,50-64,31.1
2015,age,65 and over,21.7
2015,education,Low,31.8
2015,education,Medium,19.8
2015,education,High,10.4
2015,labour,Employed,14.8
2015,labour,Unemployed,60.5
2015,labour,Retired,21.6
2015,labour,Inactive,45.0
2015,Sex,Male,25.9
2015,Sex,Female,27.3
