year,indicator,category,value
2009,sex,Male,41.8
2009,sex,Female,44.2
2009,age,Less than 18,50.6
2009,age,18-24,43.0
2009,age,25-49,38.0
2009,age,50-64,44.6
2009,age,65 and over,43.3
2009,education,Low,59.4
2009,education,Medium,33.4
2009,education,High,11.1
2009,labour,Employed,34.3
2009,labour,Unemployed,73.0
2009,labour,Retired,44.7
2009,labour,Inactive,51.9
2009,Sex,Male,41.8
2009,Sex,Female,44.2
2009,Age range,Less than 18,50.6
2009,Age range,18-24,43.0
2009,Age range,25-49,38.0
2009,Age range,50-64,44.6
2009,Age range,65 and over,43.3
2009,Education,Low,59.4
2009,Education,Medium,33.4
2009,Education,High,11.1
2009,Activity status,Employed,34.3
2009,Activity status,Unemployed,73.0
2009,Activity status,Retired,44.7
2009,Activity status,Inactive,51.9
2010,sex,Male,40.5
2010,sex,Female,42.4
2010,age,Less than 18,48.1
2010,age,18-24,42.7
2010,age,25-49,37.5
2010,age,50-64,43.1
2010,age,65 and over,40.1
2010,education,Low,57.9
2010,education,Medium,33.4
2010,education,High,10.3
2010,labour,Employed,33.5
2010,labour,Unemployed,73.6
2010,labour,Retired,42.3
2010,labour,Inactive,51.2
2010,Sex,Male,40.5
2010,Sex,Female,42.4
2010,Age range,Less than 18,48.1
2010,Age range,18-24,42.7
2010,Age range,25-49,37.5
2010,Age range,50-64,43.1
2010,Age range,65 and over,40.1
2010,Education,Low,57.9
2010,Education,Medium,33.4
2010,Education,High,10.3
2010,Activity status,Employed,33.5
2010,Activity status,Unemployed,73.6
2010,Activity status,Retired,42.3
2010,Activity status,Inactive,51.2
2011,sex,Male,39.9
2011,sex,Female,41.9
2011,age,Less than 18,49.2
2011,age,18-24,45.4
2011,age,25-49,38.2
2011,age,50-64,39.7
2011,age,65 and over,36.2
2011,education,Low,56.3
2011,education,Medium,33.9
2011,education,High,11.1
2011,labour,Employed,34.3
2011,labour,Unemployed,72.8
2011,labour,Retired,38.1
2011,labour,Inactive,50.8
2011,Sex,Male,39.9
2011,Sex,Female,41.9
2011,Age range,Less than 18,49.2
2011,Age range,18-24,45.4
2011,Age range,25-49,38.2
2011,Age range,50-64,39.7
2011,Age range,65 and over,36.2
2011,Education,Low,56.3
2011,Education,Medium,33.9
2011,Education,High,11.1
2011,Activity status,Employed,34.3
2011,Activity status,Unemployed,72.8
2011,Activity status,Retired,38.1
2011,Activity status,Inactive,50.8
2012,sex,Male,42.5
2012,sex,Female,43.8
2012,age,Less than 18,52.5
2012,age,18-24,48.3
2012,age,25-49,40.8
2012,age,50-64,42.4
2012,age,65 and over,35.4
2012,education,Low,56.9
2012,education,Medium,37.1
2012,education,High,12.9
2012,labour,Employed,35.7
2012,labour,Unemployed,77.3
2012,labour,Retired,38.3
2012,labour,Inactive,56.5
2012,Sex,Male,42.5
2012,Sex,Female,43.8
2012,Age range,Less than 18,52.5
2012,Age range,18-24,48.3
2012,Age range,25-49,40.8
2012,Age range,50-64,42.4
2012,Age range,65 and over,35.4
2012,Education,Low,56.9
2012,Education,Medium,37.1
2012,Education,High,12.9
2012,Activity status,Employed,35.7
2012,Activity status,Unemployed,77.3
2012,Activity status,Retired,38.3
2012,Activity status,Inactive,56.5
2013,sex,Male,41.3
2013,sex,Female,42.5
2013,age,Less than 18,51.4
2013,age,18-24,48.2
2013,age,25-49,38.7
2013,age,50-64,41.1
2013,age,65 and over,35.8
2013,education,Low,56.7
2013,education,Medium,35.0
2013,education,High,11.7
2013,labour,Employed,33.7
2013,labour,Unemployed,77.9
2013,labour,Retired,37.9
2013,labour,Inactive,56.4
2013,Sex,Male,41.3
2013,Sex,Female,42.5
2013,Age range,Less than 18,51.4
2013,Age range,18-24,48.2
2013,Age range,25-49,38.7
2013,Age range,50-64,41.1
2013,Age range,65 and over,35.8
2013,Education,Low,56.7
2013,Education,Medium,35.0
2013,Education,High,11.7
2013,Activity status,Employed,33.7
2013,Activity status,Unemployed,77.9
2013,Activity status,Retired,37.9
2013,Activity status,Inactive,56.4
2014,sex,Male,40.0
2014,sex,Female,40.7
2014,age,Less than 18,50.7
2014,age,18-24,47.7
2014,age,25-49,36.4
2014,age,50-64,39.3
2014,age,65 and over,35.0
2014,education,Low,57.1
2014,education,Medium,33.8
2014,education,High,9.8
2014,labour,Employed,31.2
2014,labour,Unemployed,77.3
2014,labour,Retired,36.6
2014,labour,Inactive,56.7
2014,Sex,Male,40.0
2014,Sex,Female,40.7
2014,Age range,Less than 18,50.7
2014,Age range,18-24,47.7
2014,Age range,25-49,36.4
2014,Age range,50-64,39.3
2014,Age range,65 and over,35.0
2014,Education,Low,57.1
2014,Education,Medium,33.8
2014,Education,High,9.8
2014,Activity status,Employed,31.2
2014,Activity status,Unemployed,77.3
2014,Activity status,Retired,36.6
2014,Activity status,Inactive,56.7
2015,sex,Male,36.5
2015,sex,Female,38.2
2015,age,Less than 18,46.8
2015,age,18-24,45.4
2015,age,25-49,34.2
2015,age,50-64,34.7
2015,age,65 and over,33.3
2015,education,Low,50.1
2015,education,Medium,29.3
2015,education,High,8.3
2015,labour,Employed,27.9
2015,labour,Unemployed,75.0
2015,labour,Retired,34.1
2015,labour,Inactive,55.3
2015,Sex,Male,36.5
2015,Sex,Female,38.2
2015,Age range,Less than 18,46.8
2015,Age range,18-24,45.4
2015,Age range,25-49,34.2
2015,Age range,50-64,34.7
2015,Age range,65 and over,33.3
2015,Education,Low,50.1
2015,Education,Medium,29.3
2015,Education,High,8.3
2015,Activity status,Employed,27.9
2015,Activity status,Unemployed,75.0
2015,Activity status,Retired,34.1
2015,Activity status,Inactive,55.3
2016,sex,Male,37.8
2016,sex,Female,39.8
2016,age,Less than 18,49.2
2016,age,18-24,45.6
2016,age,25-49,35.5
2016,age,50-64,36.8
2016,age,65 and over,34.0
2016,education,Low,51.0
2016,education,Medium,29.2
2016,education,High,11.9
2016,labour,Employed,29.2
2016,labour,Unemployed,73.5
2016,labour,Retired,35.4
2016,labour,Inactive,56.7
2016,Sex,Male,37.8
2016,Sex,Female,39.8
2016,Age range,Less than 18,49.2
2016,Age range,18-24,45.6
2016,Age range,25-49,35.5
2016,Age range,50-64,36.8
2016,Age range,65 and over,34.0
2016,Education,Low,51.0
2016,Education,Medium,29.2
2016,Education,High,11.9
2016,Activity status,Employed,29.2
2016,Activity status,Unemployed,73.5
2016,Activity status,Retired,35.4
2016,Activity status,Inactive,56.7
2017,sex,Male,34.9
2017,sex,Female,36.5
2017,age,Less than 18,41.7
2017,age,18-24,42.5
2017,age,25-49,32.5
2017,age,50-64,35.8
2017,age,65 and over,33.2
2017,education,Low,56.2
2017,education,Medium,28.7
2017,education,High,7.1
2017,labour,Employed,26.8
2017,labour,Unemployed,67.0
2017,labour,Retired,33.4
2017,labour,Inactive,56.0
2017,Sex,Male,34.9
2017,Sex,Female,36.5
2017,Age range,Less than 18,41.7
2017,Age range,18-24,42.5
2017,Age range,25-49,32.5
2017,Age range,50-64,35.8
2017,Age range,65 and over,33.2
2017,Education,Low,56.2
2017,Education,Medium,28.7
2017,Education,High,7.1
2017,Activity status,Employed,26.8
2017,Activity status,Unemployed,67.0
2017,Activity status,Retired,33.4
2017,Activity status,Inactive,56.0
2018,sex,Male,31.0
2018,sex,Female,33.9
2018,age,Less than 18,38.1
2018,age,18-24,36.7
2018,age,25-49,28.7
2018,age,50-64,32.3
2018,age,65 and over,32.8
2018,education,Low,54.5
2018,education,Medium,24.9
2018,education,High,5.9
2018,labour,Employed,22.8
2018,labour,Unemployed,60.9
2018,labour,Retired,32.1
2018,labour,Inactive,52.5
2018,Sex,Male,31.0
2018,Sex,Female,33.9
2018,Age range,Less than 18,38.1
2018,Age range,18-24,36.7
2018,Age range,25-49,28.7
2018,Age range,50-64,32.3
2018,Age range,65 and over,32.8
2018,Education,Low,54.5
2018,Education,Medium,24.9
2018,Education,High,5.9
2018,Activity status,Employed,22.8
2018,Activity status,Unemployed,60.9
2018,Activity status,Retired,32.1
2018,Activity status,Inactive,52.5
2019,sex,Male,30.3
2019,sex,Female,32.1
2019,age,Less than 18,35.8
2019,age,18-24,38.5
2019,age,25-49,26.1
2019,age,50-64,30.8
2019,age,65 and over,33.9
2019,education,Low,54.5
2019,education,Medium,24.4
2019,education,High,5.8
2019,labour,Employed,21.9
2019,labour,Unemployed,60.0
2019,labour,Retired,32.5
2019,labour,Inactive,50.0
2019,Sex,Male,30.3
2019,Sex,Female,32.1
2019,Age range,Less than 18,35.8
2019,Age range,18-24,38.5
2019,Age range,25-49,26.1
2019,Age range,50-64,30.8
2019,Age range,65 and over,33.9
2019,Education,Low,54.5
2019,Education,Medium,24.4
2019,Education,High,5.8
2019,Activity status,Employed,21.9
2019,Activity status,Unemployed,60.0
2019,Activity status,Retired,32.5
2019,Activity status,Inactive,50.0
2020,sex,Male,28.8
2020,sex,Female,31.9
2020,age,Less than 18,36.3
2020,age,18-24,36.6
2020,age,25-49,25.9
2020,age,50-64,29.1
2020,age,65 and over,31.5
2020,education,Low,56.0
2020,education,Medium,22.6
2020,education,High,4.7
2020,labour,Employed,20.6
2020,labour,Unemployed,78.0
2020,labour,Retired,31.5
2020,labour,Inactive,49.1
2020,Sex,Male,28.8
2020,Sex,Female,31.9
2020,Age range,Less than 18,36.3
2020,Age range,18-24,36.6
2020,Age range,25-49,25.9
2020,Age range,50-64,29.1
2020,Age range,65 and over,31.5
2020,Education,Low,56.0
2020,Education,Medium,22.6
2020,Education,High,4.7
2020,Activity status,Employed,20.6
2020,Activity status,Unemployed,78.0
2020,Activity status,Retired,31.5
2020,Activity status,Inactive,49.1
