year,indicator,category,value
2009,Sex,Male,
2009,Sex,Female,
2009,Age range,Less than 18,
2009,Age range,18-24,
2009,Age range,25-49,
2009,Age range,50-64,
2009,Age range,65 and over,
2009,Education,Low,
2009,Education,Medium,
2009,Education,High,
2009,Activity status,Employed,
2009,Activity status,Unemployed,
2009,Activity status,Retired,
2009,Activity status,Inactive,
2010,Sex,Male,
2010,Sex,Female,
2010,Age range,Less than 18,
2010,Age range,18-24,
2010,Age range,25-49,
2010,Age range,50-64,
2010,Age range,65 and over,
2010,Education,Low,
2010,Education,Medium,
2010,Education,High,
2010,Activity status,Employed,
2010,Activity status,Unemployed,
2010,Activity status,Retired,
2010,Activity status,Inactive,
2011,Sex,Male,
2011,Sex,Female,
2011,Age range,Less than 18,
2011,Age range,18-24,
2011,Age range,25-49,
2011,Age range,50-64,
2011,Age range,65 and over,
2011,Education,Low,
2011,Education,Medium,
2011,Education,High,
2011,Activity status,Employed,
2011,Activity status,Unemployed,
2011,Activity status,Retired,
2011,Activity status,Inactive,
2012,Sex,Male,
2012,Sex,Female,
2012,Age range,Less than 18,
2012,Age range,18-24,
2012,Age range,25-49,
2012,Age range,50-64,
2012,Age range,65 and over,
2012,Education,Low,
2012,Education,Medium,
2012,Education,High,
2012,Activity status,Employed,
2012,Activity status,Unemployed,
2012,Activity status,Retired,
2012,Activity status,Inactive,
2013,Sex,Male,42.0
2013,Sex,Female,42.0
2013,Age range,Less than 18,43.4
2013,Age range,18-24,44.4
2013,Age range,25-49,41.4
2013,Age range,50-64,45.8
2013,Age range,65 and over,35.7
2013,Education,Low,55.7
2013,Education,Medium,41.3
2013,Education,High,18.0
2013,Activity status,Employed,28.2
2013,Activity status,Unemployed,72.6
2013,Activity status,Retired,36.4
2013,Activity status,Inactive,51.5
2014,Sex,Male,43.1
2014,Sex,Female,42.2
2014,Age range,Less than 18,42.8
2014,Age range,18-24,47.3
2014,Age range,25-49,42.1
2014,Age range,50-64,46.4
2014,Age range,65 and over,36.5
2014,Education,Low,57.9
2014,Education,Medium,41.9
2014,Education,High,20.0
2014,Activity status,Employed,26.9
2014,Activity status,Unemployed,71.6
2014,Activity status,Retired,36.8
2014,Activity status,Inactive,52.4
2015,Sex,Male,42.2
2015,Sex,Female,41.2
2015,Age range,Less than 18,42.0
2015,Age range,18-24,45.3
2015,Age range,25-49,41.2
2015,Age range,50-64,45.5
2015,Age range,65 and over,36.0
2015,Education,Low,58.8
2015,Education,Medium,39.9
2015,Education,High,20.7
2015,Activity status,Employed,23.6
2015,Activity status,Unemployed,70.2
2015,Activity status,Retired,36.2
2015,Activity status,Inactive,53.4
2016,Sex,Male,38.8
2016,Sex,Female,38.3
2016,Age range,Less than 18,39.5
2016,Age range,18-24,44.1
2016,Age range,25-49,38.1
2016,Age range,50-64,41.8
2016,Age range,65 and over,32.0
2016,Education,Low,55.3
2016,Education,Medium,36.5
2016,Education,High,19.2
2016,Activity status,Employed,20.2
2016,Activity status,Unemployed,69.1
2016,Activity status,Retired,31.4
2016,Activity status,Inactive,48.5
2017,Sex,Male,36.1
2017,Sex,Female,37.1
2017,Age range,Less than 18,38.7
2017,Age range,18-24,39.5
2017,Age range,25-49,35.9
2017,Age range,50-64,38.8
2017,Age range,65 and over,32.5
2017,Education,Low,54.7
2017,Education,Medium,33.7
2017,Education,High,17.3
2017,Activity status,Employed,17.8
2017,Activity status,Unemployed,66.9
2017,Activity status,Retired,30.9
2017,Activity status,Inactive,45.1
2018,Sex,Male,34.3
2018,Sex,Female,34.3
2018,Age range,Less than 18,35.9
2018,Age range,18-24,38.1
2018,Age range,25-49,33.5
2018,Age range,50-64,37.0
2018,Age range,65 and over,30.0
2018,Education,Low,54.3
2018,Education,Medium,31.9
2018,Education,High,13.4
2018,Activity status,Employed,17.2
2018,Activity status,Unemployed,63.9
2018,Activity status,Retired,28.8
2018,Activity status,Inactive,47.3
2019,Sex,Male,31.2
2019,Sex,Female,32.3
2019,Age range,Less than 18,35.3
2019,Age range,18-24,35.2
2019,Age range,25-49,31.0
2019,Age range,50-64,31.8
2019,Age range,65 and over,28.5
2019,Education,Low,51.1
2019,Education,Medium,29.3
2019,Education,High,10.9
2019,Activity status,Employed,14.4
2019,Activity status,Unemployed,63.1
2019,Activity status,Retired,26.4
2019,Activity status,Inactive,43.3
2020,Sex,Male,29.0
2020,Sex,Female,30.6
2020,Age range,Less than 18,29.9
2020,Age range,18-24,30.9
2020,Age range,25-49,28.4
2020,Age range,50-64,33.2
2020,Age range,65 and over,28.3
2020,Education,Low,52.8
2020,Education,Medium,26.8
2020,Education,High,12.2
2020,Activity status,Employed,12.1
2020,Activity status,Unemployed,63.4
2020,Activity status,Retired,27.8
2020,Activity status,Inactive,44.6
