year,indicator,category,value
2009,sex,Male,18.0
2009,sex,Female,21.1
2009,age,Less than 18,23.7
2009,age,18-24,21.1
2009,age,25-49,17.3
2009,age,50-64,19.3
2009,age,65 and over,19.7
2009,education,Low,35.3
2009,education,Medium,18.3
2009,education,High,7.7
2009,labour,Employed,11.3
2009,labour,Unemployed,63.4
2009,labour,Retired,21.0
2009,labour,Inactive,29.4
2009,Sex,Male,18.0
2009,Sex,Female,21.1
2009,Age range,Less than 18,23.7
2009,Age range,18-24,21.1
2009,Age range,25-49,17.3
2009,Age range,50-64,19.3
2009,Age range,65 and over,19.7
2009,Education,Low,35.3
2009,Education,Medium,18.3
2009,Education,High,7.7
2009,Activity status,Employed,11.3
2009,Activity status,Unemployed,63.4
2009,Activity status,Retired,21.0
2009,Activity status,Inactive,29.4
2010,sex,Male,19.6
2010,sex,Female,21.6
2010,age,Less than 18,25.3
2010,age,18-24,22.8
2010,age,25-49,19.1
2010,age,50-64,20.8
2010,age,65 and over,16.7
2010,education,Low,34.9
2010,education,Medium,19.1
2010,education,High,8.7
2010,labour,Employed,11.1
2010,labour,Unemployed,57.7
2010,labour,Retired,18.6
2010,labour,Inactive,29.6
2010,Sex,Male,19.6
2010,Sex,Female,21.6
2010,Age range,Less than 18,25.3
2010,Age range,18-24,22.8
2010,Age range,25-49,19.1
2010,Age range,50-64,20.8
2010,Age range,65 and over,16.7
2010,Education,Low,34.9
2010,Education,Medium,19.1
2010,Education,High,8.7
2010,Activity status,Employed,11.1
2010,Activity status,Unemployed,57.7
2010,Activity status,Retired,18.6
2010,Activity status,Inactive,29.6
2011,sex,Male,19.5
2011,sex,Female,21.7
2011,age,Less than 18,26.0
2011,age,18-24,22.8
2011,age,25-49,19.4
2011,age,50-64,21.4
2011,age,65 and over,14.5
2011,education,Low,34.6
2011,education,Medium,19.3
2011,education,High,9.2
2011,labour,Employed,11.3
2011,labour,Unemployed,58.2
2011,labour,Retired,16.2
2011,labour,Inactive,30.9
2011,Sex,Male,19.5
2011,Sex,Female,21.7
2011,Age range,Less than 18,26.0
2011,Age range,18-24,22.8
2011,Age range,25-49,19.4
2011,Age range,50-64,21.4
2011,Age range,65 and over,14.5
2011,Education,Low,34.6
2011,Education,Medium,19.3
2011,Education,High,9.2
2011,Activity status,Employed,11.3
2011,Activity status,Unemployed,58.2
2011,Activity status,Retired,16.2
2011,Activity status,Inactive,30.9
2012,sex,Male,19.7
2012,sex,Female,21.3
2012,age,Less than 18,26.6
2012,age,18-24,21.8
2012,age,25-49,18.9
2012,age,50-64,20.7
2012,age,65 and over,16.3
2012,education,Low,35.1
2012,education,Medium,18.8
2012,education,High,9.8
2012,labour,Employed,11.0
2012,labour,Unemployed,55.7
2012,labour,Retired,17.6
2012,labour,Inactive,30.2
2012,Sex,Male,19.7
2012,Sex,Female,21.3
2012,Age range,Less than 18,26.6
2012,Age range,18-24,21.8
2012,Age range,25-49,18.9
2012,Age range,50-64,20.7
2012,Age range,65 and over,16.3
2012,Education,Low,35.1
2012,Education,Medium,18.8
2012,Education,High,9.8
2012,Activity status,Employed,11.0
2012,Activity status,Unemployed,55.7
2012,Activity status,Retired,17.6
2012,Activity status,Inactive,30.2
2013,sex,Male,19.3
2013,sex,Female,20.2
2013,age,Less than 18,25.5
2013,age,18-24,23.0
2013,age,25-49,18.5
2013,age,50-64,18.9
2013,age,65 and over,13.6
2013,education,Low,32.5
