year,indicator,category,value
2009,sex,Male,15.1
2009,sex,Female,19.1
2009,age,Less than 18,15.1
2009,age,18-24,14.0
2009,age,25-49,13.1
2009,age,50-64,23.1
2009,age,65 and over,23.3
2009,education,Low,32.5
2009,education,Medium,14.9
2009,education,High,5.4
2009,labour,Employed,8.5
2009,labour,Unemployed,56.0
2009,labour,Retired,26.4
2009,labour,Inactive,18.1
2009,Sex,Male,15.1
2009,Sex,Female,19.1
2009,Age range,Less than 18,15.1
2009,Age range,18-24,14.0
2009,Age range,25-49,13.1
2009,Age range,50-64,23.1
2009,Age range,65 and over,23.3
2009,Education,Low,32.5
2009,Education,Medium,14.9
2009,Education,High,5.4
2009,Activity status,Employed,8.5
2009,Activity status,Unemployed,56.0
2009,Activity status,Retired,26.4
2009,Activity status,Inactive,18.1
2010,sex,Male,16.5
2010,sex,Female,20.1
2010,age,Less than 18,15.2
2010,age,18-24,16.0
2010,age,25-49,14.4
2010,age,50-64,26.1
2010,age,65 and over,22.8
2010,education,Low,36.6
2010,education,Medium,16.6
2010,education,High,5.5
2010,labour,Employed,9.0
2010,labour,Unemployed,56.7
2010,labour,Retired,27.8
2010,labour,Inactive,21.7
2010,Sex,Male,16.5
2010,Sex,Female,20.1
2010,Age range,Less than 18,15.2
2010,Age range,18-24,16.0
2010,Age range,25-49,14.4
2010,Age range,50-64,26.1
2010,Age range,65 and over,22.8
2010,Education,Low,36.6
2010,Education,Medium,16.6
2010,Education,High,5.5
2010,Activity status,Employed,9.0
2010,Activity status,Unemployed,56.7
2010,Activity status,Retired,27.8
2010,Activity status,Inactive,21.7
2011,sex,Male,17.4
2011,sex,Female,21.1
2011,age,Less than 18,17.3
2011,age,18-24,16.5
2011,age,25-49,15.9
2011,age,50-64,24.6
2011,age,65 and over,24.2
2011,education,Low,37.0
2011,education,Medium,18.2
2011,education,High,5.3
2011,labour,Employed,9.5
2011,labour,Unemployed,57.7
2011,labour,Retired,27.7
2011,labour,Inactive,24.0
2011,Sex,Male,17.4
2011,Sex,Female,21.1
2011,Age range,Less than 18,17.3
2011,Age range,18-24,16.5
2011,Age range,25-49,15.9
2011,Age range,50-64,24.6
2011,Age range,65 and over,24.2
2011,Education,Low,37.0
