year,indicator,category,value
2009,sex,M,63.1
2009,sex,F,64.6
2009,age,0_to_17,69.6
2009,age,18_to_24,67.0
2009,age,25_to_49,61.2
2009,age,50_to_64,62.0
2009,age,65+,52.0
2009,education,low,66.4
2009,education,medium,50.0
2009,education,high,26.5
2009,labour,employed,55.7
2009,labour,unemployed,84.6
2009,labour,retired,53.4
2009,labour,inactive,66.1
2010,sex,M,65.0
2010,sex,F,66.4
2010,age,0_to_17,71.0
2010,age,18_to_24,68.8
2010,age,25_to_49,63.1
2010,age,50_to_64,63.1
2010,age,65+,55.8
2010,education,low,68.4
2010,education,medium,53.0
2010,education,high,27.5
2010,labour,employed,56.5
2010,labour,unemployed,87.6
2010,labour,retired,57.9
2010,labour,inactive,68.1
2011,sex,M,63.0
2011,sex,F,64.5
2011,age,0_to_17,69.1
2011,age,18_to_24,67.1
2011,age,25_to_49,60.7
2011,age,50_to_64,61.8
2011,age,65+,54.8
2011,education,low,65.9
2011,education,medium,52.2
2011,education,high,26.8
2011,labour,employed,54.5
2011,labour,unemployed,84.0
2011,labour,retired,56.3
2011,labour,inactive,67.3
2012,sex,M,60.6
2012,sex,F,62.1
2012,age,0_to_17,67.4
2012,age,18_to_24,66.3
2012,age,25_to_49,57.7
2012,age,50_to_64,58.7
2012,age,65+,52.4
2012,education,low,63.4
2012,education,medium,50.2
2012,education,high,24.2
2012,labour,employed,51.6
2012,labour,unemployed,83.0
2012,labour,retired,52.5
2012,labour,inactive,65.2
2013,sex,M,50.3
2013,sex,F,52.1
2013,age,0_to_17,57.8
2013,age,18_to_24,53.7
2013,age,25_to_49,46.9
2013,age,50_to_64,49.2
2013,age,65+,46.7
2013,education,low,52.7
2013,education,medium,38.8
2013,education,high,17.8
2013,labour,employed,39.8
2013,labour,unemployed,73.0
2013,labour,retired,45.3
2013,labour,inactive,56.5
2014,sex,M,40.4
2014,sex,F,42.8
2014,age,0_to_17,48.7
2014,age,18_to_24,44.0
2014,age,25_to_49,37.2
2014,age,50_to_64,41.0
2014,age,65+,34.1
2014,education,low,45.6
2014,education,medium,30.3
2014,education,high,13.5
2014,labour,employed,28.8
2014,labour,unemployed,67.1
2014,labour,retired,36.3
2014,labour,inactive,47.6
2015,sex,M,40.2
2015,sex,F,42.4
2015,age,0_to_17,48.2
2015,age,18_to_24,42.6
2015,age,25_to_49,36.5
2015,age,50_to_64,40.8
2015,age,65+,37.8
2015,education,low,45.8
2015,education,medium,30.5
2015,education,high,14.0
2015,labour,employed,27.8
2015,labour,unemployed,65.6
2015,labour,retired,36.2
2015,labour,inactive,48.4
2016,sex,M,44.0
2016,sex,F,46.1
2016,age,0_to_17,51.9
2016,age,18_to_24,49.2
2016,age,25_to_49,40.5
2016,age,50_to_64,45.0
2016,age,65+,36.5
2016,education,low,50.5
2016,education,medium,34.9
2016,education,high,16.3
2016,labour,employed,32.9
2016,labour,unemployed,69.9
2016,labour,retired,36.9
2016,labour,inactive,51.6
2017,sex,M,40.0
2017,sex,F,42.6
2017,age,0_to_17,48.7
2017,age,18_to_24,45.3
2017,age,25_to_49,37.1
2017,age,50_to_64,39.9
2017,age,65+,32.1
2017,education,low,46.0
2017,education,medium,31.0
2017,education,high,15.6
2017,labour,employed,28.5
2017,labour,unemployed,66.5
2017,labour,retired,32.0
2017,labour,inactive,48.4
2018,sex,M,38.5
2018,sex,F,41.0
2018,age,0_to_17,48.0
2018,age,18_to_24,42.7
2018,age,25_to_49,35.7
2018,age,50_to_64,38.3
2018,age,65+,28.9
2018,education,low,43.6
2018,education,medium,30.0
2018,education,high,16.2
2018,labour,employed,26.9
2018,labour,unemployed,66.2
2018,labour,retired,33.1
2018,labour,inactive,45.6
2019,sex,M,38.6
2019,sex,F,41.0
2019,age,0_to_17,48.0
2019,age,18_to_24,43.3
2019,age,25_to_49,36.1
2019,age,50_to_64,38.0
2019,age,65+,28.5
2019,education,low,44.1
2019,education,medium,30.0
2019,education,high,16.1
2019,labour,employed,26.3
2019,labour,unemployed,65.5
2019,labour,retired,32.8
2019,labour,inactive,45.9
2020,sex,M,40.2
2020,sex,F,42.8
2020,age,0_to_17,48.9
2020,age,18_to_24,46.5
2020,age,25_to_49,37.8
2020,age,50_to_64,40.3
2020,age,65+,30.9
2020,education,low,46.6
2020,education,medium,33.6
2020,education,high,17.4
2020,labour,employed,27.9
2020,labour,unemployed,67.4
2020,labour,retired,35.1
2020,labour,inactive,48.2
