name,abundance,abbreviation
Türkiye,32.5,TUR
Spain,18.3,ESP
Romania,18.1,ROU
Iceland,17.8,ISL
Malta,14.0,MLT
Italy,14.0,ITA
Bulgaria,12.7,BGR
Portugal,12.6,PRT
Hungary,12.5,HUN
Estonia,11.8,EST
European Union - 27 countries (from 2020),10.5,EU
Norway,10.4,NOR
Germany,10.1,DEU
Slovakia,9.3,SVK
Belgium,8.9,BEL
France,8.8,FRA
Denmark,8.8,DNK
Latvia,8.6,LVA
Cyprus,8.5,CYP
North Macedonia,8.5,MKD
Finland,8.2,FIN
Sweden,7.7,SWE
Austria,7.4,AUT
Luxembourg,7.3,LUX
Netherlands,7.1,NLD
Czechia,6.7,CZE
Serbia,6.2,SRB
Greece,6.0,GRC
Montenegro,5.4,MNE
Lithuania,5.4,LTU
Poland,5.0,POL
Ireland,5.0,IRL
Switzerland,4.5,CHE
Slovenia,4.3,SVN
Croatia,3.1,HRV
