Country,Abbreviation,neet,poverty
Belgium,BEL,13.1,20.8
Bulgaria,BGR,24.8,48.2
Czechia,CZE,12.1,17.0
Denmark,DNK,8.4,32.1
Germany,DEU,11.0,24.4
Estonia,EST,14.1,25.2
Ireland,IRL,22.4,39.5
Greece,GRC,22.7,36.8
Spain,ESP,20.6,30.9
France,FRA,12.0,24.5
Croatia,HRV,19.1,32.5
Italy,ITA,22.7,33.7
Cyprus,CYP,14.8,23.2
Latvia,LVA,19.1,41.8
Lithuania,LTU,14.7,35.2
Luxembourg,LUX,6.6,19.7
Hungary,HUN,15.5,36.1
Malta,MLT,12.1,20.6
Netherlands,NLD,6.5,22.1
Austria,AUT,8.9,20.0
Poland,POL,15.4,27.7
Portugal,PRT,13.9,24.6
Romania,ROU,24.4,43.5
Slovenia,SVN,8.0,17.1
Slovakia,SVK,18.0,21.9
Finland,FIN,9.6,23.3
Sweden,SWE,7.5,28.5
Iceland,ISL,7.6,18.7
Norway,NOR,7.8,29.8
Switzerland,CHE,7.9,16.2
Montenegro,MNE,24.6,
North Macedonia,MKD,31.6,
Serbia,SRB,30.5,
Türkiye,TUR,32.7,65.1
