Age,ISCED11_1,ISCED11_2,ISCED11_24,ISCED11_3,ISCED11_34,ISCED11_35,ISCED11_4,ISCED11_45,ISCED11_5,ISCED11_55,ISCED11_5T8,ISCED11_6,ISCED11_7,ISCED11_8
15 years,484,8584,8584,551289,280855,270434,0,0,0,0,0,0,0,0
16 years,1341,3146,3146,555229,272931,282298,0,0,0,0,0,0,0,0
17 years,2865,2857,2857,531809,263043,268766,0,0,0,0,0,0,0,0
18 years,2177,1783,1783,459017,224757,234260,105,105,237,237,27707,22668,4802,0
19 years,1980,1311,1311,104541,26800,77741,480,480,3059,3059,226683,191934,31690,0
20 years,2189,1253,1253,33607,5343,28264,380,380,4443,4443,252076,212435,35198,0
21 years,2722,1420,1420,13405,1535,11870,213,213,4526,4526,242205,197825,39854,0
22 years,2992,1347,1347,7679,624,7055,110,110,2695,2695,207399,119105,85574,25
23 years,2845,1201,1201,5443,401,5042,74,74,1782,1782,193068,77383,113703,200
24 years,3039,1178,1178,4257,281,3976,67,67,1083,1083,151322,55994,92706,1539
25 years,3206,1068,1068,3564,214,3350,143,143,882,882,114594,42028,68276,3408
26 years,3040,1132,1132,3276,168,3108,125,125,689,689,89886,32868,51510,4819
27 years,3031,1035,1035,2857,144,2713,87,87,548,548,73215,26623,41208,4836
28 years,3269,1085,1085,2756,156,2600,77,77,483,483,60431,22472,33377,4099
29 years,2817,986,986,2538,117,2421,75,75,385,385,47205,18166,25699,2955
